acc,cik,name,filing_date,words,chars,tail_share,marker,line,anchor
0000034088-22-000023,34088,EXXON MOBIL CORP,2022-04-29,5483,36883,0.0,,,
0001058290-16-000058,1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,2016-05-06,2323,15762,0.0,,,
0001104659-17-046944,823768,WASTE MANAGEMENT INC,2017-07-26,3947,25214,0.0,,,
0001193125-23-259572,87347,SLB LIMITED/NV,2023-10-20,8268,52330,0.0,,,
0000950170-25-006999,1045609,"Prologis, Inc.",2025-01-21,1529,10415,0.0,,,Prologis (F2 §5 deck/title-page precedent)
0001157523-18-000183,1551182,Eaton Corp plc,2018-02-01,4091,24425,0.0,,,
0001645590-18-000010,1645590,Hewlett Packard Enterprise Co,2018-05-22,12421,82468,0.0,,,
0001193125-17-006335,313616,DANAHER CORP /DE/,2017-01-10,162,1147,0.0,,,
0001193125-20-279185,12927,BOEING CO,2020-10-28,4388,30096,0.0,,,
0001539838-16-000167,1539838,"Diamondback Energy, Inc.",2016-05-03,2810,17882,0.0,,,
0000034088-23-000028,34088,EXXON MOBIL CORP,2023-04-28,5716,38864,0.0,,,
0000055785-20-000052,55785,KIMBERLY CLARK CORP,2020-07-23,4888,31031,0.0,,,
0001157523-15-002603,1358071,CONCHO RESOURCES INC,2015-07-29,4564,29856,0.0,,,
0000320193-24-000080,320193,Apple Inc.,2024-08-01,1497,10345,0.0,,,
0000064803-18-000016,64803,CVS HEALTH Corp,2018-05-02,6495,42889,0.2690666604490662,supplemental information,Supplemental Information,
0001551152-23-000006,1551152,AbbVie Inc.,2023-02-09,5230,33753,0.0,,,
0001543151-21-000008,1543151,"Uber Technologies, Inc",2021-02-10,7585,49268,0.0,,,
0000002488-15-000035,2488,ADVANCED MICRO DEVICES INC,2015-07-06,1261,8346,0.0,,,
0001532176-17-000006,872589,"REGENERON PHARMACEUTICALS, INC.",2017-02-09,5935,38698,0.0,,,
0001104659-22-114211,1571949,"Intercontinental Exchange, Inc.",2022-11-03,3764,23516,0.0,,,
0001193125-24-196470,1692819,Vistra Corp.,2024-08-08,5453,32383,0.0,,,
0001751788-25-000005,1751788,DOW INC.,2025-01-30,6741,42840,0.0,,,
0001018724-19-000041,1018724,AMAZON COM INC,2019-04-25,6603,39261,0.31364458368355363,supplemental financial information,Supplemental Financial Information and Business Metrics,
0000047217-24-000068,47217,HP INC,2024-08-28,6871,45699,0.0,,,
0000003570-15-000149,3570,"Cheniere Energy, Inc.",2015-07-30,2521,16327,0.0,,,
0001157523-17-000250,4281,Howmet Aerospace Inc.,2017-01-31,9181,57905,0.0,,,
0000080661-21-000042,80661,PROGRESSIVE CORP/OH/,2021-07-15,3007,19888,0.6554203539823009,supplemental information,SUPPLEMENTAL INFORMATION,
0001193125-22-277422,715957,"DOMINION ENERGY, INC",2022-11-04,4361,27181,0.0,,,
0001104659-16-153957,1001250,ESTEE LAUDER COMPANIES INC,2016-11-02,4951,30774,0.0,,,
0000813672-24-000150,813672,CADENCE DESIGN SYSTEMS INC,2024-07-22,3468,22858,0.0,,,
0000882095-25-000003,882095,"GILEAD SCIENCES, INC.",2025-02-11,6969,43394,0.39129833617550813,supplemental information,Supplemental Information:,
0000875320-23-000004,875320,VERTEX PHARMACEUTICALS INC / MA,2023-02-07,5781,37972,0.0,,,
0001193125-18-057237,1692819,Vistra Corp.,2018-02-26,3807,24618,0.0,,,
0000798354-20-000011,798354,FISERV INC,2020-05-07,5729,37779,0.0,,,
0001558370-22-000384,51143,INTERNATIONAL BUSINESS MACHINES CORP,2022-01-24,3979,25802,0.0,,,
0001065280-19-000441,1065280,NETFLIX INC,2019-12-16,1363,8014,0.0,,,
0001133421-21-000055,1133421,NORTHROP GRUMMAN CORP /DE/,2021-10-28,6869,44384,0.0,,,
0000320187-26-000076,320187,"NIKE, Inc.",2026-06-30,3074,18240,0.0,,,
0001564590-18-008291,1045609,"Prologis, Inc.",2018-04-17,1353,9129,0.0,,,Prologis (F2 §5 deck/title-page precedent)
0000092122-19-000018,92122,SOUTHERN CO,2019-05-01,1691,11926,0.0,,,
0001558370-21-005259,1297996,"DIGITAL REALTY TRUST, INC.",2021-04-29,17526,115100,0.0,,,
0001628280-19-004780,315293,Aon plc,2019-04-26,6843,42497,0.0,,,
0001628280-26-053790,10795,BECTON DICKINSON & CO,2026-08-06,6118,40258,0.21431765115008197,supplemental information,SUPPLEMENTAL INFORMATION,
0000200406-20-000054,200406,JOHNSON & JOHNSON,2020-10-13,2201,15513,0.0,,,
0001104659-18-001100,872589,"REGENERON PHARMACEUTICALS, INC.",2018-01-08,4265,30172,0.0,,,
0000895728-25-000005,895728,ENBRIDGE INC,2025-02-14,8379,55920,0.0,,,
0001510295-25-000052,1510295,Marathon Petroleum Corp,2025-08-05,5758,37337,0.0,,,
0000003570-22-000047,3570,"Cheniere Energy, Inc.",2022-05-04,4108,27490,0.0,,,
0001276187-16-000235,1276187,Energy Transfer LP,2016-11-09,3013,19107,0.4985607369027058,supplemental information,SUPPLEMENTAL INFORMATION,
0000004904-17-000003,4904,AMERICAN ELECTRIC POWER CO INC,2017-01-26,2978,19423,0.0,,,
0000092230-20-000054,92230,TRUIST FINANCIAL CORP,2020-04-20,8316,54267,0.0,,,
0001104659-26-093361,1063761,SIMON PROPERTY GROUP INC.,2026-08-10,15262,98490,0.0,,,"Simon Property (combined release+supplemental, H4 §8.4)"
0001193125-18-219187,886982,GOLDMAN SACHS GROUP INC,2018-07-17,4622,29116,0.0,,,
0001558370-17-003223,31462,ECOLAB INC.,2017-05-02,5496,35548,0.0,,,
0001564590-20-021004,715957,"DOMINION ENERGY, INC",2020-05-05,2995,19853,0.0,,,
0000821189-20-000039,821189,EOG RESOURCES INC,2020-08-06,12178,79540,0.0,,,
0000014272-17-000130,14272,BRISTOL MYERS SQUIBB CO,2017-04-27,4046,26731,0.0,,,
