cik,family,tag,as_of,period_end,days_stale
320193,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-01,2013-12-28,1131
320193,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-09,2013-12-28,1139
320193,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-03-01,2013-12-28,1159
320193,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-03-03,2013-12-28,1161
320193,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-05-02,2013-12-28,1221
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-07-21,2013-03-31,1208
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-07-29,2013-03-31,1216
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-09-06,2013-03-31,1255
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-09-20,2013-03-31,1269
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-10-11,2013-03-31,1290
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-10-12,2013-03-31,1291
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-10-21,2013-03-31,1300
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-11-03,2013-03-31,1313
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-11-28,2013-03-31,1338
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-01-10,2013-03-31,1381
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-01-19,2013-03-31,1390
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-01,2013-03-31,1403
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-02,2013-03-31,1404
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-09,2013-03-31,1411
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-14,2013-03-31,1416
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-15,2013-03-31,1417
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-16,2013-03-31,1418
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-23,2013-03-31,1425
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-24,2013-03-31,1426
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-03-01,2013-03-31,1431
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-03-24,2013-03-31,1454
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-04-28,2013-03-31,1489
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-05-01,2013-03-31,1492
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-05-05,2013-03-31,1496
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-05-12,2013-03-31,1503
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-05-26,2013-03-31,1517
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-06-16,2013-03-31,1538
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-06-19,2013-03-31,1541
701221,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-06-21,2013-03-31,1543
712515,revenue,Revenues,2017-07-11,2011-06-30,2203
712515,revenue,Revenues,2017-07-27,2011-06-30,2219
712515,revenue,Revenues,2017-08-04,2011-06-30,2227
712515,revenue,Revenues,2017-08-07,2011-06-30,2230
712515,revenue,Revenues,2017-08-08,2011-06-30,2231
712515,revenue,Revenues,2017-08-31,2011-06-30,2254
712515,revenue,Revenues,2017-09-18,2011-06-30,2272
712515,revenue,Revenues,2017-10-31,2011-06-30,2315
712515,revenue,Revenues,2017-11-07,2011-06-30,2322
712515,revenue,Revenues,2017-11-09,2011-06-30,2324
712515,revenue,Revenues,2017-11-17,2011-06-30,2332
712515,revenue,Revenues,2017-11-21,2011-06-30,2336
712515,revenue,Revenues,2017-12-04,2011-06-30,2349
712515,revenue,Revenues,2018-01-30,2011-06-30,2406
712515,revenue,Revenues,2018-02-06,2011-06-30,2413
712515,revenue,Revenues,2018-04-12,2011-06-30,2478
712515,revenue,Revenues,2018-05-08,2011-06-30,2504
712515,revenue,Revenues,2018-05-18,2011-06-30,2514
712515,revenue,Revenues,2018-05-23,2011-06-30,2519
712515,revenue,Revenues,2018-05-24,2011-06-30,2520
712515,revenue,Revenues,2018-05-30,2011-06-30,2526
712515,revenue,Revenues,2018-07-26,2011-06-30,2583
712515,revenue,Revenues,2018-08-03,2011-06-30,2591
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-07-15,2013-06-30,1111
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-08-03,2013-06-30,1130
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-08-16,2013-06-30,1143
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-09-14,2013-06-30,1172
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-10-14,2013-06-30,1202
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-11-01,2013-06-30,1220
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-11-03,2013-06-30,1222
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-11-04,2013-06-30,1223
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-01-13,2013-06-30,1293
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-01-30,2013-06-30,1310
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-03,2013-06-30,1314
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-07,2013-06-30,1318
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-28,2013-06-30,1339
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-03-07,2013-06-30,1346
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-03-15,2013-06-30,1354
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-03-31,2013-06-30,1370
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-04-13,2013-06-30,1383
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-04-25,2013-06-30,1395
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-04-28,2013-06-30,1398
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-05-03,2013-06-30,1403
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-05-19,2013-06-30,1419
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-07-13,2013-06-30,1474
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-07-14,2013-06-30,1475
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-08-02,2013-06-30,1494
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-08-10,2013-06-30,1502
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-09-13,2013-06-30,1536
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-10-13,2013-06-30,1566
713676,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-04-27,2017-09-30,209
713676,revenue,Revenues,2020-05-01,2019-09-30,214
713676,revenue,Revenues,2020-05-05,2019-09-30,218
713676,revenue,Revenues,2020-05-15,2019-09-30,228
713676,revenue,Revenues,2020-05-21,2019-09-30,234
713676,revenue,Revenues,2020-07-15,2019-09-30,289
713676,revenue,Revenues,2020-07-31,2019-09-30,305
713676,revenue,Revenues,2020-08-04,2019-09-30,309
713676,revenue,Revenues,2020-10-01,2019-09-30,367
713676,revenue,Revenues,2020-10-14,2019-09-30,380
713676,revenue,Revenues,2020-11-03,2019-09-30,400
713676,revenue,Revenues,2020-11-16,2019-09-30,413
713676,revenue,Revenues,2020-11-19,2019-09-30,416
713676,revenue,Revenues,2021-01-15,2019-09-30,473
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-07-06,2013-05-30,1133
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-07-22,2013-05-30,1149
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-08-22,2013-05-30,1180
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-09-02,2013-05-30,1191
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-09-08,2013-05-30,1197
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-10-04,2013-05-30,1223
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-10-11,2013-05-30,1230
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-10-24,2013-05-30,1243
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-10-27,2013-05-30,1246
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-10-28,2013-05-30,1247
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-11-09,2013-05-30,1259
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-11-18,2013-05-30,1268
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-11-29,2013-05-30,1279
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-12-06,2013-05-30,1286
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-12-21,2013-05-30,1301
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-01-09,2013-05-30,1320
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-01-19,2013-05-30,1330
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-03,2013-05-30,1345
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-16,2013-05-30,1358
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-03-02,2013-05-30,1372
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-03-23,2013-05-30,1393
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-03-27,2013-05-30,1397
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-03-28,2013-05-30,1398
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-04-10,2013-05-30,1411
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-04-28,2013-05-30,1429
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-05-17,2013-05-30,1448
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-06-28,2013-05-30,1490
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-06-29,2013-05-30,1491
723125,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-06-30,2013-05-30,1492
764180,eps_diluted,EarningsPerShareDiluted,2016-07-27,2012-12-31,1304
764180,eps_diluted,EarningsPerShareDiluted,2016-09-07,2012-12-31,1346
764180,eps_diluted,EarningsPerShareDiluted,2016-09-13,2012-12-31,1352
764180,eps_diluted,EarningsPerShareDiluted,2016-09-16,2012-12-31,1355
764180,eps_diluted,EarningsPerShareDiluted,2016-09-20,2012-12-31,1359
764180,eps_diluted,EarningsPerShareDiluted,2016-10-11,2012-12-31,1380
764180,eps_diluted,EarningsPerShareDiluted,2016-10-21,2012-12-31,1390
764180,eps_diluted,EarningsPerShareDiluted,2016-10-27,2012-12-31,1396
764180,eps_diluted,EarningsPerShareDiluted,2017-02-01,2012-12-31,1493
764180,eps_diluted,EarningsPerShareDiluted,2017-02-22,2012-12-31,1514
764180,eps_diluted,EarningsPerShareDiluted,2017-02-27,2012-12-31,1519
764180,eps_diluted,EarningsPerShareDiluted,2017-03-02,2012-12-31,1522
764180,eps_diluted,EarningsPerShareDiluted,2017-05-02,2012-12-31,1583
764180,eps_diluted,EarningsPerShareDiluted,2017-05-04,2012-12-31,1585
764180,eps_diluted,EarningsPerShareDiluted,2017-05-18,2012-12-31,1599
764180,eps_diluted,EarningsPerShareDiluted,2017-07-27,2012-12-31,1669
764180,eps_diluted,EarningsPerShareDiluted,2017-09-06,2012-12-31,1710
764180,eps_diluted,EarningsPerShareDiluted,2017-10-26,2012-12-31,1760
764180,eps_diluted,EarningsPerShareDiluted,2017-11-02,2012-12-31,1767
764180,eps_diluted,EarningsPerShareDiluted,2018-02-01,2012-12-31,1858
764180,eps_diluted,EarningsPerShareDiluted,2018-02-21,2012-12-31,1878
764180,eps_diluted,EarningsPerShareDiluted,2018-02-27,2012-12-31,1884
764180,eps_diluted,EarningsPerShareDiluted,2018-04-26,2012-12-31,1942
764180,eps_diluted,EarningsPerShareDiluted,2018-05-17,2012-12-31,1963
764180,eps_diluted,EarningsPerShareDiluted,2018-07-26,2012-12-31,2033
764180,eps_diluted,EarningsPerShareDiluted,2018-08-01,2012-12-31,2039
764180,eps_diluted,EarningsPerShareDiluted,2018-09-05,2012-12-31,2074
764180,eps_diluted,EarningsPerShareDiluted,2018-10-25,2012-12-31,2124
764180,eps_diluted,EarningsPerShareDiluted,2018-12-07,2012-12-31,2167
764180,eps_diluted,EarningsPerShareDiluted,2018-12-20,2012-12-31,2180
764180,eps_diluted,EarningsPerShareDiluted,2019-01-09,2012-12-31,2200
764180,eps_diluted,EarningsPerShareDiluted,2019-01-31,2012-12-31,2222
764180,eps_diluted,EarningsPerShareDiluted,2019-02-14,2012-12-31,2236
764180,eps_diluted,EarningsPerShareDiluted,2019-02-15,2012-12-31,2237
764180,eps_diluted,EarningsPerShareDiluted,2019-02-20,2012-12-31,2242
764180,eps_diluted,EarningsPerShareDiluted,2019-07-30,2018-12-31,211
764180,eps_diluted,EarningsPerShareDiluted,2019-08-27,2018-12-31,239
764180,eps_diluted,EarningsPerShareDiluted,2019-09-25,2018-12-31,268
764180,eps_diluted,EarningsPerShareDiluted,2019-10-31,2018-12-31,304
764180,eps_diluted,EarningsPerShareDiluted,2020-01-30,2018-12-31,395
764180,eps_diluted,EarningsPerShareDiluted,2020-02-19,2018-12-31,415
764180,eps_diluted,EarningsPerShareDiluted,2020-07-28,2019-12-31,210
764180,eps_diluted,EarningsPerShareDiluted,2020-07-30,2019-12-31,212
764180,eps_diluted,EarningsPerShareDiluted,2020-08-21,2019-12-31,234
764180,eps_diluted,EarningsPerShareDiluted,2020-09-09,2019-12-31,253
764180,eps_diluted,EarningsPerShareDiluted,2020-10-13,2019-12-31,287
764180,equity,StockholdersEquity,2022-07-28,2021-12-31,209
764180,equity,StockholdersEquity,2022-08-17,2021-12-31,229
764180,equity,StockholdersEquity,2022-09-30,2021-12-31,273
764180,equity,StockholdersEquity,2022-10-20,2021-12-31,293
764180,equity,StockholdersEquity,2022-10-27,2021-12-31,300
764180,equity,StockholdersEquity,2022-11-14,2021-12-31,318
764180,equity,StockholdersEquity,2023-02-01,2021-12-31,397
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-07-05,2013-06-30,1101
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-07-07,2013-06-30,1103
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-07-19,2013-06-30,1115
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-07-28,2013-06-30,1124
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-08-05,2013-06-30,1132
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-09-22,2013-06-30,1180
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-10-20,2013-06-30,1208
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-12-01,2013-06-30,1250
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-12-08,2013-06-30,1257
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-01-26,2013-06-30,1306
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-02-03,2013-06-30,1314
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-03-14,2013-06-30,1353
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-04-27,2013-06-30,1397
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-06-14,2013-06-30,1445
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-07-20,2013-06-30,1481
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-08-02,2013-06-30,1494
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-08-03,2013-06-30,1495
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-09-19,2013-06-30,1542
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-10-26,2013-06-30,1579
789019,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-11-30,2013-06-30,1614
797468,equity,StockholdersEquity,2016-07-05,2014-12-31,552
797468,equity,StockholdersEquity,2016-07-19,2014-12-31,566
797468,equity,StockholdersEquity,2016-08-03,2014-12-31,581
797468,equity,StockholdersEquity,2016-10-31,2014-12-31,670
797468,net_income,ProfitLoss,2016-10-31,2016-03-31,214
797468,equity,StockholdersEquity,2016-11-01,2014-12-31,671
797468,net_income,ProfitLoss,2016-11-01,2016-03-31,215
797468,equity,StockholdersEquity,2016-11-07,2014-12-31,677
797468,net_income,ProfitLoss,2016-11-07,2016-03-31,221
797468,equity,StockholdersEquity,2017-02-06,2014-12-31,768
797468,net_income,ProfitLoss,2017-02-06,2016-03-31,312
797468,equity,StockholdersEquity,2017-02-09,2014-12-31,771
797468,net_income,ProfitLoss,2017-02-09,2016-03-31,315
797468,equity,StockholdersEquity,2017-02-23,2014-12-31,785
797468,equity,StockholdersEquity,2017-03-10,2014-12-31,800
797468,equity,StockholdersEquity,2017-05-04,2014-12-31,855
797468,revenue,Revenues,2017-05-04,2016-09-30,216
797468,equity,StockholdersEquity,2017-05-18,2014-12-31,869
797468,revenue,Revenues,2017-05-18,2016-09-30,230
797468,equity,StockholdersEquity,2017-05-31,2014-12-31,882
797468,revenue,Revenues,2017-05-31,2016-09-30,243
797468,equity,StockholdersEquity,2017-06-30,2014-12-31,912
797468,revenue,Revenues,2017-06-30,2016-09-30,273
797468,equity,StockholdersEquity,2017-08-02,2014-12-31,945
797468,revenue,Revenues,2017-08-02,2016-09-30,306
797468,equity,StockholdersEquity,2017-10-03,2014-12-31,1007
797468,revenue,Revenues,2017-10-03,2016-09-30,368
797468,equity,StockholdersEquity,2017-11-01,2014-12-31,1036
797468,revenue,Revenues,2017-11-01,2016-09-30,397
797468,equity,StockholdersEquity,2018-02-13,2014-12-31,1140
797468,revenue,Revenues,2018-02-13,2016-09-30,501
797468,equity,StockholdersEquity,2018-02-23,2014-12-31,1150
797468,revenue,Revenues,2018-02-23,2016-09-30,511
797468,equity,StockholdersEquity,2018-03-02,2014-12-31,1157
797468,revenue,Revenues,2018-03-02,2016-09-30,518
797468,equity,StockholdersEquity,2018-05-08,2014-12-31,1224
797468,equity,StockholdersEquity,2018-05-10,2014-12-31,1226
797468,equity,StockholdersEquity,2018-08-08,2014-12-31,1316
797468,net_income,ProfitLoss,2022-11-08,2022-03-31,222
797468,net_income,ProfitLoss,2023-01-04,2022-03-31,279
797468,net_income,ProfitLoss,2023-01-20,2022-03-31,295
797468,net_income,ProfitLoss,2023-02-22,2022-03-31,328
797468,net_income,ProfitLoss,2023-02-27,2022-03-31,333
797468,net_income,ProfitLoss,2023-05-09,2022-03-31,404
797468,net_income,ProfitLoss,2023-05-11,2022-03-31,406
797468,net_income,ProfitLoss,2023-08-02,2022-03-31,489
797468,net_income,ProfitLoss,2023-08-09,2022-03-31,496
797468,net_income,ProfitLoss,2023-10-10,2022-03-31,558
797468,net_income,ProfitLoss,2023-11-07,2022-03-31,586
797468,net_income,ProfitLoss,2023-12-12,2022-03-31,621
797468,net_income,ProfitLoss,2023-12-28,2022-03-31,637
797468,net_income,ProfitLoss,2024-01-10,2022-03-31,650
797468,net_income,ProfitLoss,2024-01-22,2022-03-31,662
797468,net_income,ProfitLoss,2024-02-05,2022-03-31,676
797468,net_income,ProfitLoss,2024-02-14,2022-03-31,685
797468,net_income,ProfitLoss,2024-04-10,2022-03-31,741
797468,net_income,ProfitLoss,2024-05-06,2022-03-31,767
797468,net_income,ProfitLoss,2024-05-07,2022-03-31,768
797468,net_income,ProfitLoss,2024-07-10,2022-03-31,832
797468,net_income,ProfitLoss,2024-07-19,2022-03-31,841
797468,net_income,ProfitLoss,2024-07-26,2022-03-31,848
797468,net_income,ProfitLoss,2024-08-01,2022-03-31,854
797468,net_income,ProfitLoss,2024-08-02,2022-03-31,855
798354,cash,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2022-04-27,2021-09-30,209
798354,cash,CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents,2023-04-25,2022-09-30,207
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-07-15,2015-12-27,201
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-07-20,2015-12-27,206
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-10-11,2015-12-27,289
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-10-27,2015-12-27,305
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-04-19,2016-09-25,206
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-05-19,2016-09-25,236
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-05-23,2016-09-25,240
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-05-31,2016-09-25,248
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-07-19,2016-09-25,297
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2017-08-24,2016-09-25,333
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-04-19,2017-09-24,207
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-04-20,2017-09-24,208
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-04-24,2017-09-24,212
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-04-25,2017-09-24,213
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-05-21,2017-09-24,239
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-05-25,2017-09-24,243
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-05-29,2017-09-24,247
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-06-05,2017-09-24,254
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-06-13,2017-09-24,262
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-06-28,2017-09-24,277
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-07-17,2017-09-24,296
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-07-25,2017-09-24,304
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-07-26,2017-09-24,305
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-08-01,2017-09-24,311
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-09-13,2017-09-24,354
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-09-21,2017-09-24,362
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2018-10-09,2017-09-24,380
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2019-05-01,2018-09-30,213
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2019-05-10,2018-09-30,222
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2019-07-31,2018-09-30,304
804328,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2019-08-28,2018-09-30,332
829224,revenue,Revenues,2016-07-21,2013-12-29,935
829224,revenue,Revenues,2016-07-25,2013-12-29,939
829224,revenue,Revenues,2016-07-27,2013-12-29,941
829224,revenue,Revenues,2016-07-29,2013-12-29,943
829224,revenue,Revenues,2016-09-16,2013-12-29,992
829224,revenue,Revenues,2016-11-03,2013-12-29,1040
829224,revenue,Revenues,2016-11-18,2013-12-29,1055
829224,revenue,Revenues,2016-12-01,2013-12-29,1068
829224,revenue,Revenues,2017-01-25,2013-12-29,1123
829224,revenue,Revenues,2017-01-26,2013-12-29,1124
829224,revenue,Revenues,2017-01-31,2013-12-29,1129
829224,revenue,Revenues,2017-03-20,2013-12-29,1177
829224,revenue,Revenues,2017-03-27,2013-12-29,1184
829224,revenue,Revenues,2017-04-27,2013-12-29,1215
829224,revenue,Revenues,2017-05-02,2013-12-29,1220
829224,revenue,Revenues,2017-07-27,2013-12-29,1306
829224,revenue,Revenues,2017-08-01,2013-12-29,1311
829224,revenue,Revenues,2017-09-06,2013-12-29,1347
829224,revenue,Revenues,2017-10-30,2013-12-29,1401
829224,revenue,Revenues,2017-11-02,2013-12-29,1404
829224,revenue,Revenues,2017-11-17,2013-12-29,1419
829224,revenue,Revenues,2017-11-22,2013-12-29,1424
829224,revenue,Revenues,2018-01-03,2013-12-29,1466
829224,revenue,Revenues,2018-01-25,2013-12-29,1488
829224,revenue,Revenues,2018-01-31,2013-12-29,1494
829224,revenue,Revenues,2018-02-28,2013-12-29,1522
829224,revenue,Revenues,2018-03-26,2013-12-29,1548
829224,revenue,Revenues,2018-04-26,2013-12-29,1579
829224,revenue,Revenues,2018-05-01,2013-12-29,1584
829224,revenue,Revenues,2018-05-02,2013-12-29,1585
829224,revenue,Revenues,2018-05-07,2013-12-29,1590
829224,revenue,Revenues,2018-06-05,2013-12-29,1619
829224,revenue,Revenues,2018-06-19,2013-12-29,1633
829224,revenue,Revenues,2018-06-28,2013-12-29,1642
829224,revenue,Revenues,2018-07-26,2013-12-29,1670
831001,assets,Assets,2026-08-06,2025-12-31,218
831001,cash,CashAndDueFromBanks,2026-08-06,2025-12-31,218
831001,eps_diluted,EarningsPerShareDiluted,2026-08-06,2025-12-31,218
831001,equity,StockholdersEquity,2026-08-06,2025-12-31,218
831001,liabilities,Liabilities,2026-08-06,2025-12-31,218
831001,net_income,NetIncomeLoss,2026-08-06,2025-12-31,218
831001,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2026-08-06,2025-12-31,218
831001,revenue,Revenues,2026-08-06,2025-12-31,218
849399,eps_diluted,EarningsPerShareDiluted,2018-01-31,2017-06-30,215
858877,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-07-29,2013-07-27,1098
858877,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-08-17,2013-07-27,1117
858877,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-09-06,2013-07-27,1137
858877,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-09-08,2013-07-27,1139
858877,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-09-13,2013-07-27,1144
858877,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-09-15,2013-07-27,1146
858877,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-09-16,2013-07-27,1147
858877,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-09-20,2013-07-27,1151
858877,operating_cash_flow,NetCashProvidedByUsedInOperatingActivities,2016-09-21,2013-07-27,1152
