rank,batch,chunk_id
130,batch_04,E2CHK-4cdb7b3bd5bdbf68
131,batch_04,E2CHK-af6972d4c50c8ae4
132,batch_04,E2CHK-dd331ef2080052ca
133,batch_04,E2CHK-ecd2ca41b77ee42f
134,batch_04,E2CHK-a57195ed78f3ce4a
135,batch_04,E2CHK-6f6b16b9fef5ebe1
136,batch_04,E2CHK-612ed6e9da9b6228
137,batch_04,E2CHK-590c3420f7ec83ae
138,batch_04,E2CHK-2dcd9a2066668174
139,batch_04,E2CHK-6d6cbe1c97c42ece
140,batch_04,E2CHK-c089f2181e437662
141,batch_04,E2CHK-77f9908e5dafd434
142,batch_04,E2CHK-449e8722b0f09e0f
143,batch_04,E2CHK-c27d0b89e44af924
144,batch_04,E2CHK-6dff99229d098d2a
145,batch_04,E2CHK-dd50b2c4f9f94871
146,batch_04,E2CHK-d97abfc5a21f6bad
147,batch_04,E2CHK-4b9157b50c939a1c
148,batch_04,E2CHK-4fba9689f1451f83
149,batch_04,E2CHK-35b96df4fe0b07b7
150,batch_04,E2CHK-f307072f2f01f95c
151,batch_04,E2CHK-7cb0f09c65a20a4d
152,batch_04,E2CHK-5349d923bae4dbc4
153,batch_04,E2CHK-764c32ef6b23e214
154,batch_04,E2CHK-75e59541bf13eef1
155,batch_04,E2CHK-2683c59700eec6d3
156,batch_04,E2CHK-9ad4bde75766e863
157,batch_04,E2CHK-edde638aa45bde93
158,batch_04,E2CHK-f543a4e7fa46e6a9
159,batch_04,E2CHK-e43b2a29330089de
160,batch_04,E2CHK-a88fc19db7efd8fd
161,batch_05,E2CHK-c05ee28d8225d0e1
162,batch_05,E2CHK-13ebd9ae899dd431
163,batch_05,E2CHK-3274b39619182ca1
164,batch_05,E2CHK-13118269fc011a43
165,batch_05,E2CHK-8c2d90c779858e69
166,batch_05,E2CHK-92b5ae844ca9544a
167,batch_05,E2CHK-81ff37be2806b9f7
168,batch_05,E2CHK-8b4adcb77ee14fc7
169,batch_05,E2CHK-dba86b67aed203e7
170,batch_05,E2CHK-f5aead7b295a4214
171,batch_05,E2CHK-acddff2c116c5a83
172,batch_05,E2CHK-ce05ab29a032e87c
173,batch_05,E2CHK-ceb9863fd10544fc
174,batch_05,E2CHK-6adeacfab14b3a04
175,batch_05,E2CHK-2f6acdcaa4a8e138
176,batch_05,E2CHK-af98d865cf1fcf87
177,batch_05,E2CHK-ffa7fb0f06f1083a
178,batch_05,E2CHK-5e3b77980f37a428
179,batch_05,E2CHK-5f1d29616874765b
180,batch_05,E2CHK-0e6ec714c7d46167
181,batch_05,E2CHK-a8a44197eba3d453
182,batch_05,E2CHK-0a2e1bb1a048802c
183,batch_05,E2CHK-948020f4453dd89b
184,batch_05,E2CHK-7afaf199e0e3971d
