cik,company_name,sector,stratum,accession_number,form,filing_date,section_type,extraction_status,reason_code,flags,extraction_method,extraction_confidence,word_count,prose_word_share,ctrl_ratio,eng_word_share,source_document,note
24741,CORNING INC /NY,materials_realestate,extension,0000024741-17-000011,10-K,2017-02-06,MDA,FAIL,item_absent_from_toc,item_absent_from_toc|item_body_heading_present,none,low,0,0.0,,,q4201610k.htm,
24741,CORNING INC /NY,materials_realestate,extension,0000024741-17-000011,10-K,2017-02-06,RISK_FACTORS,FAIL,item_absent_from_toc,item_absent_from_toc|item_body_heading_present,none,low,0,0.0,,,q4201610k.htm,
24741,CORNING INC /NY,materials_realestate,extension,0000024741-18-000010,10-K,2018-02-15,MDA,FLAGGED,heading_regex_fallback,heading_regex_fallback,heading_regex,low,24021,0.3466,0.0,0.49219,glw-20171231x10k.htm,
24741,CORNING INC /NY,materials_realestate,extension,0000024741-18-000010,10-K,2018-02-15,RISK_FACTORS,FLAGGED,heading_regex_fallback,heading_regex_fallback,heading_regex,low,4010,0.5087,0.0,0.46363,glw-20171231x10k.htm,
24741,CORNING INC /NY,materials_realestate,extension,0000024741-19-000016,10-K,2019-02-12,MDA,FLAGGED,heading_regex_fallback,heading_regex_fallback,heading_regex,low,18685,0.4765,0.0,0.4936,glw-20181231x10k.htm,
24741,CORNING INC /NY,materials_realestate,extension,0000024741-19-000016,10-K,2019-02-12,RISK_FACTORS,FLAGGED,heading_regex_fallback,heading_regex_fallback,heading_regex,low,3908,0.706,0.0,0.46461,glw-20181231x10k.htm,
24741,CORNING INC /NY,materials_realestate,extension,0000024741-20-000014,10-K,2020-02-18,MDA,FAIL,item_absent_from_toc,item_absent_from_toc|item_body_heading_present,none,low,0,0.0,,,glw-20191231x10k.htm,
24741,CORNING INC /NY,materials_realestate,extension,0000024741-20-000014,10-K,2020-02-18,RISK_FACTORS,FAIL,item_absent_from_toc,item_absent_from_toc|item_body_heading_present,none,low,0,0.0,,,glw-20191231x10k.htm,
24741,CORNING INC /NY,materials_realestate,extension,0000024741-26-000124,10-K,2026-02-12,MDA,FAIL,item_absent_from_toc,item_absent_from_toc|item_body_heading_present,none,low,0,0.0,,,glw-20251231.htm,
24741,CORNING INC /NY,materials_realestate,extension,0000024741-26-000124,10-K,2026-02-12,RISK_FACTORS,FAIL,item_absent_from_toc,item_absent_from_toc|item_body_heading_present,none,low,0,0.0,,,glw-20251231.htm,
