cik,company_name,sector,stratum,form,section_type,n_attempt,n_ok,n_flagged,n_item_absent_from_toc,n_fail,fail_rate,flag_rate,n_pre2019,fail_rate_pre2019,fail_rate_2019plus,top_reason_code,n_low_confidence,median_words
1364742,"BlackRock Finance, Inc.",financials,core,10-Q,RISK_FACTORS,28,14,0,14,0,0.0,0.0,11,0.0,0.0,item_absent_from_toc,14,23.0
804753,CERNER Corp,tech,core,8-K,EX99_PRESS_RELEASE,28,28,0,0,0,0.0,0.0,14,0.0,0.0,ok,0,3780.5
1038357,PIONEER NATURAL RESOURCES CO,energy,core,10-Q,MDA,27,27,0,0,0,0.0,0.0,11,0.0,0.0,ok,0,7579.0
1038357,PIONEER NATURAL RESOURCES CO,energy,core,10-Q,RISK_FACTORS,27,27,0,0,0,0.0,0.0,11,0.0,0.0,ok,0,151.0
1666700,"DuPont de Nemours, Inc.",materials_realestate,extension,10-Q,MDA,27,27,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,7612.0
1666700,"DuPont de Nemours, Inc.",materials_realestate,extension,10-Q,RISK_FACTORS,27,27,0,0,0,0.0,0.0,4,0.0,0.0,ok,0,549.0
895728,ENBRIDGE INC,energy,core,10-Q,MDA,26,26,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,9718.0
895728,ENBRIDGE INC,energy,core,10-Q,RISK_FACTORS,26,26,0,0,0,0.0,0.0,3,0.0,0.0,ok,0,67.0
718877,"Activision Blizzard, Inc.",tech,core,10-Q,MDA,25,14,11,0,0,0.0,0.44,11,0.0,0.0,head_keyword_absent,0,12263.0
718877,"Activision Blizzard, Inc.",tech,core,10-Q,RISK_FACTORS,25,25,0,0,0,0.0,0.0,11,0.0,0.0,ok,0,90.0
1126975,"Magellan Midstream Partners, L.P.",energy,core,10-Q,MDA,25,0,25,0,0,0.0,1.0,11,0.0,0.0,head_keyword_absent,0,4983.0
1126975,"Magellan Midstream Partners, L.P.",energy,core,10-Q,RISK_FACTORS,25,25,0,0,0,0.0,0.0,11,0.0,0.0,ok,0,98.0
1707925,LINDE PLC,materials_realestate,extension,10-Q,MDA,25,23,2,0,0,0.0,0.08,2,0.0,0.0,below_length_floor,0,7738.0
1707925,LINDE PLC,materials_realestate,extension,10-Q,RISK_FACTORS,25,25,0,0,0,0.0,0.0,2,0.0,0.0,ok,0,43.0
1730168,Broadcom Inc.,tech,core,10-Q,MDA,25,25,0,0,0,0.0,0.0,2,0.0,0.0,ok,0,5229.0
1730168,Broadcom Inc.,tech,core,10-Q,RISK_FACTORS,25,25,0,0,0,0.0,0.0,2,0.0,0.0,ok,0,15712.0
1578845,Allergan plc,healthcare,core,8-K,EX99_PRESS_RELEASE,25,14,11,0,0,0.0,0.44,18,0.0,0.0,earnings_population_gate,0,9863.0
1321655,Palantir Technologies Inc.,tech,core,8-K,EX99_PRESS_RELEASE,24,24,0,0,0,0.0,0.0,0,,0.0,ok,0,3349.5
1739940,Cigna Group,healthcare,core,10-Q,MDA,23,20,3,0,0,0.0,0.1304,0,,0.0,heading_regex_fallback,2,10015.0
1739940,Cigna Group,healthcare,core,10-Q,RISK_FACTORS,23,13,2,8,0,0.0,0.087,0,,0.0,item_absent_from_toc,10,46.0
1543151,"Uber Technologies, Inc",financials,core,10-Q,MDA,23,23,0,0,0,0.0,0.0,0,,0.0,ok,0,9882.0
1543151,"Uber Technologies, Inc",financials,core,10-Q,RISK_FACTORS,23,23,0,0,0,0.0,0.0,0,,0.0,ok,0,34933.0
1682852,"Moderna, Inc.",healthcare,core,10-Q,MDA,23,22,1,0,0,0.0,0.0435,0,,0.0,toc_recovered_f1,0,8013.0
1682852,"Moderna, Inc.",healthcare,core,10-Q,RISK_FACTORS,23,23,0,0,0,0.0,0.0,0,,0.0,ok,0,72.0
1744489,Walt Disney Co,consumer,core,10-Q,MDA,23,6,17,0,0,0.0,0.7391,0,,0.0,heading_regex_fallback,17,16807.0
1744489,Walt Disney Co,consumer,core,10-Q,RISK_FACTORS,23,6,17,0,0,0.0,0.7391,0,,0.0,heading_regex_fallback,17,1476.0
6769,APACHE CORP,energy,core,8-K,EX99_PRESS_RELEASE,23,23,0,0,0,0.0,0.0,14,0.0,0.0,ok,0,5243.0
1640147,Snowflake Inc.,tech,core,8-K,EX99_PRESS_RELEASE,23,23,0,0,0,0.0,0.0,0,,0.0,ok,0,5749.0
1418091,"TWITTER, INC.",tech,core,10-Q,MDA,22,22,0,0,0,0.0,0.0,11,0.0,0.0,ok,0,6957.0
1418091,"TWITTER, INC.",tech,core,10-Q,RISK_FACTORS,22,22,0,0,0,0.0,0.0,11,0.0,0.0,ok,0,19232.0
1535527,"CrowdStrike Holdings, Inc.",tech,core,10-Q,MDA,22,22,0,0,0,0.0,0.0,0,,0.0,ok,0,9750.0
1535527,"CrowdStrike Holdings, Inc.",tech,core,10-Q,RISK_FACTORS,22,22,0,0,0,0.0,0.0,0,,0.0,ok,0,24621.5
1585521,"Zoom Communications, Inc.",tech,core,10-Q,MDA,22,22,0,0,0,0.0,0.0,0,,0.0,ok,0,6343.5
1585521,"Zoom Communications, Inc.",tech,core,10-Q,RISK_FACTORS,22,22,0,0,0,0.0,0.0,0,,0.0,ok,0,28785.5
816284,CELGENE CORP /DE/,healthcare,core,8-K,EX99_PRESS_RELEASE,22,14,8,0,0,0.0,0.3636,17,0.0,0.0,earnings_population_gate,0,5340.0
1358071,CONCHO RESOURCES INC,energy,core,8-K,EX99_PRESS_RELEASE,22,16,6,0,0,0.0,0.2727,14,0.0,0.0,earnings_population_gate,0,5325.0
804753,CERNER Corp,tech,core,10-Q,MDA,21,21,0,0,0,0.0,0.0,11,0.0,0.0,ok,0,6482.0
804753,CERNER Corp,tech,core,10-Q,RISK_FACTORS,21,6,0,15,0,0.0,0.0,11,0.0,0.0,item_absent_from_toc,15,0.0
1782754,AZEK Co Inc.,consumer,core,8-K,EX99_PRESS_RELEASE,21,19,2,0,0,0.0,0.0952,0,,0.0,earnings_population_gate,0,6478.0
1047122,RAYTHEON CO/,industrials,extension,8-K,EX99_PRESS_RELEASE,19,19,0,0,0,0.0,0.0,14,0.0,0.0,ok,0,4231.0
1321655,Palantir Technologies Inc.,tech,core,10-Q,MDA,18,18,0,0,0,0.0,0.0,0,,0.0,ok,0,7519.5
1321655,Palantir Technologies Inc.,tech,core,10-Q,RISK_FACTORS,18,18,0,0,0,0.0,0.0,0,,0.0,ok,0,44643.0
1868275,Constellation Energy Corp,utilities,extension,8-K,EX99_PRESS_RELEASE,18,18,0,0,0,0.0,0.0,0,,0.0,ok,0,4742.0
1161154,"Energy Transfer Operating, L.P.",energy,core,10-Q,MDA,17,17,0,0,0,0.0,0.0,11,0.0,0.0,ok,0,10450.0
1161154,"Energy Transfer Operating, L.P.",energy,core,10-Q,RISK_FACTORS,17,11,6,0,0,0.0,0.3529,11,0.0,0.0,head_keyword_absent,0,706.0
1358071,CONCHO RESOURCES INC,energy,core,10-Q,MDA,17,11,6,0,0,0.0,0.3529,11,0.0,0.0,heading_regex_fallback,6,8742.0
