chunk_id,arm
E2CHK-f543a4e7fa46e6a9,P
E2CHK-e43b2a29330089de,P
E2CHK-a88fc19db7efd8fd,P
E2CHK-c05ee28d8225d0e1,P
E2CHK-13ebd9ae899dd431,P
E2CHK-3274b39619182ca1,G-N
E2CHK-13118269fc011a43,P
E2CHK-8c2d90c779858e69,P
E2CHK-92b5ae844ca9544a,P
E2CHK-81ff37be2806b9f7,G-N
E2CHK-8b4adcb77ee14fc7,P
E2CHK-dba86b67aed203e7,P
E2CHK-f5aead7b295a4214,P
E2CHK-acddff2c116c5a83,P
E2CHK-ce05ab29a032e87c,P
E2CHK-ceb9863fd10544fc,P
E2CHK-6adeacfab14b3a04,P
E2CHK-2f6acdcaa4a8e138,G-A
E2CHK-af98d865cf1fcf87,P
E2CHK-ffa7fb0f06f1083a,P
E2CHK-5e3b77980f37a428,P
E2CHK-5f1d29616874765b,P
E2CHK-0e6ec714c7d46167,P
E2CHK-a8a44197eba3d453,G-N
E2CHK-0a2e1bb1a048802c,P
E2CHK-948020f4453dd89b,P
E2CHK-7afaf199e0e3971d,P
E2CHK-d86d1e815ab6bd10,P
E2CHK-9342fa8457cfb895,P
E2CHK-93b76cc89e748627,P
E2CHK-cf5aa0cd9c95e4ee,G-A
E2CHK-36601e12c6b3177a,G-N
E2CHK-98514b8d6cf9814e,P
E2CHK-775fa52ea1fa1820,G-N
E2CHK-cc4180ed654b42de,P
E2CHK-69e7f9286d88e13e,P
E2CHK-62b7f78ac141c48d,G-A
E2CHK-eb7faaec93ffd0cd,P
E2CHK-a83e92e090af3dc2,G-N
E2CHK-763089c60ee1cbfd,G-N
E2CHK-a888d45cb28cf251,P
E2CHK-bbf21eef4bdca577,G-A
E2CHK-9cbbbb12bdc63272,P
E2CHK-2330859487453986,G-A
E2CHK-d2925dad3092fd9d,P
E2CHK-9b0e481826b4b02a,P
E2CHK-9c96d5f4645c6f17,G-N
E2CHK-5ae45af46e4a0558,P
E2CHK-a45c7eb727c18fd4,P
E2CHK-f8154d76409080a3,G-A
E2CHK-375cc9f65b5f4ca2,P
E2CHK-34ae3ecc75458c4c,G-A
E2CHK-b9cbe918d3cead0a,G-A
E2CHK-df17fa866f5ea2bc,P
E2CHK-48a62fd38118e54c,P
E2CHK-42398c6fe1c40f77,G-A
E2CHK-de44426d67da502b,P
E2CHK-397f693db996a0a5,P
E2CHK-e7fae80d08d9ad65,P
E2CHK-f1710be27660c442,P
E2CHK-82b2492a67f3a838,P
E2CHK-424ab90579241b5c,G-N
E2CHK-5ce0422c899cd47f,P
E2CHK-afda557ca8fa0a00,P
E2CHK-07343153f4da0cd4,P
E2CHK-9992a913245c70dc,G-A
E2CHK-bd6d40bfa743d7e9,G-N
E2CHK-b1dcfad4cf301fae,P
E2CHK-cf40c42e13ffd313,G-N
E2CHK-24ffe2cf322f5174,P
E2CHK-072cdc9ef91088cf,P
E2CHK-356ea310dacb3870,P
E2CHK-5498fdccc84f4d31,G-N
E2CHK-92bc555031d929d0,P
E2CHK-bab88b607789ab2e,G-N
E2CHK-43c99ed059e45bf9,G-A
E2CHK-46e76944be24ceac,P
E2CHK-3065eb4a544bc898,P
E2CHK-aa6791cdc8cd9d42,P
E2CHK-cac60fcf29f3459e,P
E2CHK-09366f1650ed94d3,P
E2CHK-501409621e5ca4b5,P
E2CHK-7995f75857a3c8b9,G-A
E2CHK-e9012e252ae60012,P
E2CHK-b01df19d7e3fd960,G-N
E2CHK-a6bddc058587bc6f,P
E2CHK-e6c82266dc0dba90,G-N
E2CHK-1fedbf9e1fa8c941,P
E2CHK-e0bff5c28b3b4893,G-A
E2CHK-371eab4898627682,P
E2CHK-bbe514f22fde6389,G-A
E2CHK-d747af0ef8e212a3,P
E2CHK-ce92535a1177db1e,P
E2CHK-57fd1acfe806ac73,P
E2CHK-778fbd4e20e7cb7d,P
E2CHK-bed403feac3278ef,G-A
E2CHK-b802582aba1fb9f9,G-N
E2CHK-b5151529936a822a,P
E2CHK-a55a42eef205eb7f,P
E2CHK-c01cab2aeaa56f31,G-A
E2CHK-4679986c2d35061f,P
E2CHK-0ab193960ac1b16e,P
E2CHK-3281c060608b17e3,P
E2CHK-d13cfe9ca5271caf,G-N
E2CHK-c365ce339b2d0636,G-A
E2CHK-41ec729cfa18210a,P
E2CHK-b69e1ac3d92b9287,P
E2CHK-7ff32fcd26f78e7c,P
E2CHK-6d3a45b809b2c15c,P
E2CHK-c96a9eb9f18a5219,G-N
E2CHK-5e24420cdc959210,P
E2CHK-31a4acb370e5d5fa,P
E2CHK-668c51a0258a96ac,P
E2CHK-64964ba526f30c04,P
E2CHK-1520659824342413,P
E2CHK-40a075138596207f,P
E2CHK-57a2c3f396b8daae,G-N
E2CHK-5f48f7b3a4ae87d4,P
E2CHK-28641af1dd53a56c,G-A
E2CHK-33fccbc999d29c39,G-N
E2CHK-3b2368436e1dabeb,P
E2CHK-449be2e96b98210f,P
