cik,name,sector,stratum,new_filer,section_type,selection_confidence,n_filings,first_seen_year,n_release_language_measured,n_release_language_missing,release_language_missing_share,release_language_flag,n_deck_shaped,deck_shaped_flag
1358071,CONCHO RESOURCES INC,energy,core,True,EX99_PRESS_RELEASE,high,22,2015,29,6,0.2069,False,0,False
1364742,"BlackRock Finance, Inc.",financials,core,True,EX99_PRESS_RELEASE,high,37,2015,37,0,0.0,False,0,False
1373715,"ServiceNow, Inc.",tech,core,True,8K_BODY,high,1,2016,47,1,0.0213,False,0,False
1373715,"ServiceNow, Inc.",tech,core,True,EX99_PRESS_RELEASE,high,46,2015,47,1,0.0213,False,0,False
1373835,Spectra Energy Corp.,energy,core,True,EX99_PRESS_RELEASE,high,7,2015,7,0,0.0,False,0,False
1389170,Targa Resources Corp.,energy,core,True,EX99_PRESS_RELEASE,high,48,2015,48,0,0.0,False,0,False
1390777,Bank of New York Mellon Corp,financials,core,True,8K_BODY,high,1,2016,46,1,0.0217,False,0,False
1390777,Bank of New York Mellon Corp,financials,core,True,EX99_PRESS_RELEASE,high,45,2015,46,1,0.0217,False,0,False
1393612,Discover Financial Services,financials,core,True,EX99_PRESS_RELEASE,high,42,2015,42,0,0.0,False,0,False
1393818,Blackstone Inc.,financials,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1403161,VISA INC.,financials,core,False,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1404912,KKR & Co. Inc.,financials,core,True,8K_BODY,high,1,2020,47,1,0.0213,False,0,False
1404912,KKR & Co. Inc.,financials,core,True,EX99_PRESS_RELEASE,high,46,2015,47,1,0.0213,False,0,False
1413329,Philip Morris International Inc.,consumer,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1418091,"TWITTER, INC.",tech,core,True,EX99_PRESS_RELEASE,high,30,2015,30,1,0.0333,False,0,False
1467858,General Motors Co,consumer,core,True,8K_BODY,high,2,2019,48,1,0.0208,False,0,False
1467858,General Motors Co,consumer,core,True,EX99_PRESS_RELEASE,high,46,2015,48,1,0.0208,False,0,False
1483096,WILLIAMS PARTNERS L.P.,energy,core,True,EX99_PRESS_RELEASE,high,13,2015,13,0,0.0,False,0,False
1489393,LyondellBasell Industries N.V.,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,46,2015,46,0,0.0,False,0,False
1506307,"KINDER MORGAN, INC.",energy,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1510295,Marathon Petroleum Corp,energy,core,True,8K_BODY,high,4,2020,52,2,0.0385,False,0,False
1510295,Marathon Petroleum Corp,energy,core,True,EX99_PRESS_RELEASE,high,48,2015,52,2,0.0385,False,0,False
1512673,"Block, Inc.",tech,core,True,EX99_PRESS_RELEASE,high,43,2016,43,0,0.0,False,0,False
1532063,Express Scripts Holding Co.,consumer,core,True,EX99_PRESS_RELEASE,high,14,2015,14,0,0.0,False,0,False
1534701,Phillips 66,energy,core,True,EX99_PRESS_RELEASE,high,46,2015,46,1,0.0217,False,0,False
1535527,"CrowdStrike Holdings, Inc.",tech,core,True,EX99_PRESS_RELEASE,high,30,2019,30,1,0.0333,False,0,False
1539838,"Diamondback Energy, Inc.",energy,core,True,8K_BODY,high,14,2022,64,9,0.1406,False,0,False
1539838,"Diamondback Energy, Inc.",energy,core,True,EX99_PRESS_RELEASE,high,50,2015,64,9,0.1406,False,0,False
1543151,"Uber Technologies, Inc",financials,core,True,8K_BODY,high,3,2020,36,3,0.0833,False,0,False
1543151,"Uber Technologies, Inc",financials,core,True,EX99_PRESS_RELEASE,high,33,2019,36,3,0.0833,False,0,False
1551152,AbbVie Inc.,healthcare,core,False,EX99_PRESS_RELEASE,high,65,2015,65,19,0.2923,False,0,False
1551182,Eaton Corp plc,industrials,extension,True,EX99_PRESS_RELEASE,high,48,2015,48,0,0.0,False,0,False
1552000,MPLX LP,energy,core,True,8K_BODY,high,1,2026,48,3,0.0625,False,0,False
1552000,MPLX LP,energy,core,True,EX99_PRESS_RELEASE,high,47,2015,48,3,0.0625,False,0,False
1555280,Zoetis Inc.,healthcare,core,True,EX99_PRESS_RELEASE,high,46,2015,46,1,0.0217,False,0,False
1564408,Snap Inc,tech,core,True,8K_BODY,high,1,2019,41,3,0.0732,False,0,False
1564408,Snap Inc,tech,core,True,EX99_PRESS_RELEASE,high,40,2017,41,3,0.0732,False,0,False
1571949,"Intercontinental Exchange, Inc.",financials,core,True,8K_BODY,high,1,2022,46,0,0.0,False,0,False
1571949,"Intercontinental Exchange, Inc.",financials,core,True,EX99_PRESS_RELEASE,high,45,2015,46,0,0.0,False,0,False
1578845,Allergan plc,healthcare,core,True,8K_BODY,high,2,2018,27,3,0.1111,False,0,False
1578845,Allergan plc,healthcare,core,True,EX99_PRESS_RELEASE,high,25,2015,27,3,0.1111,False,0,False
1585521,"Zoom Communications, Inc.",tech,core,True,EX99_PRESS_RELEASE,high,28,2019,29,0,0.0,False,0,False
1585521,"Zoom Communications, Inc.",tech,core,True,EX99_PRESS_RELEASE,medium,1,2019,29,0,0.0,False,0,False
1596532,"Arista Networks, Inc.",tech,core,True,8K_BODY,high,2,2018,47,1,0.0213,False,0,False
1596532,"Arista Networks, Inc.",tech,core,True,EX99_PRESS_RELEASE,high,44,2015,47,1,0.0213,False,0,False
1596532,"Arista Networks, Inc.",tech,core,True,EX99_PRESS_RELEASE,medium,1,2020,47,1,0.0213,False,0,False
1613103,Medtronic plc,healthcare,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1618921,"Walgreens Boots Alliance, Inc.",consumer,core,True,EX99_PRESS_RELEASE,high,42,2015,42,0,0.0,False,0,False
1633917,"PayPal Holdings, Inc.",financials,core,True,8K_BODY,high,6,2016,50,3,0.06,False,0,False
1633917,"PayPal Holdings, Inc.",financials,core,True,EX99_PRESS_RELEASE,high,44,2015,50,3,0.06,False,0,False
1637459,Kraft Heinz Co,consumer,core,True,8K_BODY,high,1,2019,49,2,0.0408,False,0,False
1637459,Kraft Heinz Co,consumer,core,True,EX99_PRESS_RELEASE,high,48,2015,49,2,0.0408,False,0,False
1640147,Snowflake Inc.,tech,core,True,EX99_PRESS_RELEASE,high,23,2020,23,0,0.0,False,0,False
1645590,Hewlett Packard Enterprise Co,tech,core,True,EX99_PRESS_RELEASE,high,53,2015,53,9,0.1698,False,0,False
1652044,Alphabet Inc.,tech,core,False,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1666700,"DuPont de Nemours, Inc.",materials_realestate,extension,True,EX99_PRESS_RELEASE,high,42,2017,42,0,0.0,False,0,False
1682852,"Moderna, Inc.",healthcare,core,True,EX99_PRESS_RELEASE,high,39,2019,39,2,0.0513,False,0,False
1692819,Vistra Corp.,utilities,extension,True,EX99_PRESS_RELEASE,high,34,2018,37,0,0.0,False,0,False
1692819,Vistra Corp.,utilities,extension,True,EX99_PRESS_RELEASE,medium,3,2017,37,0,0.0,False,0,False
1707925,LINDE PLC,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,30,2019,31,2,0.0645,False,0,False
1707925,LINDE PLC,materials_realestate,extension,True,EX99_PRESS_RELEASE,medium,1,2022,31,2,0.0645,False,0,False
1730168,Broadcom Inc.,tech,core,True,EX99_PRESS_RELEASE,high,33,2018,33,0,0.0,False,0,False
1739940,Cigna Group,healthcare,core,True,EX99_PRESS_RELEASE,high,30,2019,30,1,0.0333,False,0,False
1744489,Walt Disney Co,consumer,core,True,EX99_PRESS_RELEASE,high,30,2019,30,0,0.0,False,0,False
1751788,DOW INC.,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,29,2019,29,0,0.0,False,0,False
1782754,AZEK Co Inc.,consumer,core,True,EX99_PRESS_RELEASE,high,21,2020,21,0,0.0,False,0,False
1868275,Constellation Energy Corp,utilities,extension,True,EX99_PRESS_RELEASE,high,18,2022,18,0,0.0,False,0,False
1996810,GE Vernova Inc.,industrials,extension,True,EX99_PRESS_RELEASE,high,9,2024,9,0,0.0,False,0,False
