cik,name,sector,stratum,new_filer,section_type,selection_confidence,n_filings,first_seen_year,n_release_language_measured,n_release_language_missing,release_language_missing_share,release_language_flag,n_deck_shaped,deck_shaped_flag
93410,CHEVRON CORP,energy,core,False,8K_BODY,high,2,2024,48,2,0.0417,False,0,False
93410,CHEVRON CORP,energy,core,False,EX99_PRESS_RELEASE,high,46,2015,48,2,0.0417,False,0,False
97476,TEXAS INSTRUMENTS INC,tech,core,True,8K_BODY,high,1,2018,46,2,0.0435,False,0,False
97476,TEXAS INSTRUMENTS INC,tech,core,True,EX99_PRESS_RELEASE,high,44,2015,46,2,0.0435,False,0,False
97476,TEXAS INSTRUMENTS INC,tech,core,True,EX99_PRESS_RELEASE,medium,1,2020,46,2,0.0435,False,0,False
97745,THERMO FISHER SCIENTIFIC INC.,industrials,extension,True,8K_BODY,high,1,2021,48,0,0.0,False,0,False
97745,THERMO FISHER SCIENTIFIC INC.,industrials,extension,True,EX99_PRESS_RELEASE,high,47,2015,48,0,0.0,False,0,False
100885,UNION PACIFIC CORP,industrials,extension,True,8K_BODY,high,1,2019,47,1,0.0213,False,0,False
100885,UNION PACIFIC CORP,industrials,extension,True,EX99_PRESS_RELEASE,high,46,2015,47,1,0.0213,False,0,False
101829,RTX Corp,industrials,extension,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
104169,Walmart Inc.,consumer,core,False,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
106040,WESTERN DIGITAL CORP,tech,core,True,8K_BODY,high,1,2025,47,1,0.0213,False,0,False
106040,WESTERN DIGITAL CORP,tech,core,True,EX99_PRESS_RELEASE,high,46,2015,47,1,0.0213,False,0,False
106535,WEYERHAEUSER CO,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
107263,"WILLIAMS COMPANIES, INC.",energy,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
109198,TJX COMPANIES INC /DE/,consumer,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
200406,JOHNSON & JOHNSON,healthcare,core,False,EX99_PRESS_RELEASE,high,30,2019,30,1,0.0333,False,0,False
200406,JOHNSON & JOHNSON,healthcare,core,False,EX99_PRESS_RELEASE,low,18,2015,30,1,0.0333,False,0,False
310158,"Merck & Co., Inc.",healthcare,core,False,EX99_PRESS_RELEASE,high,46,2015,46,1,0.0217,False,0,False
310764,STRYKER CORP,healthcare,core,True,EX99_PRESS_RELEASE,high,48,2015,48,0,0.0,False,0,False
313616,DANAHER CORP /DE/,industrials,extension,True,8K_BODY,high,1,2023,58,2,0.0345,False,0,False
313616,DANAHER CORP /DE/,industrials,extension,True,EX99_PRESS_RELEASE,high,57,2015,58,2,0.0345,False,0,False
315189,DEERE & CO,industrials,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
315293,Aon plc,financials,core,True,EX99_PRESS_RELEASE,high,44,2015,45,0,0.0,False,0,False
315293,Aon plc,financials,core,True,EX99_PRESS_RELEASE,medium,1,2015,45,0,0.0,False,0,False
316709,SCHWAB CHARLES CORP,financials,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
318154,AMGEN INC,healthcare,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
320187,"NIKE, Inc.",consumer,core,True,EX99_PRESS_RELEASE,high,57,2015,57,0,0.0,False,0,False
320193,Apple Inc.,tech,core,False,EX99_PRESS_RELEASE,high,46,2015,46,0,0.0,False,0,False
354950,"HOME DEPOT, INC.",consumer,core,False,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
701221,Cigna Holding Co,healthcare,core,True,8K_BODY,high,2,2017,17,0,0.0,False,0,False
701221,Cigna Holding Co,healthcare,core,True,EX99_PRESS_RELEASE,high,15,2015,17,0,0.0,False,0,False
707549,LAM RESEARCH CORP,tech,core,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
712515,ELECTRONIC ARTS INC.,tech,core,True,EX99_PRESS_RELEASE,high,46,2015,46,0,0.0,False,0,False
713676,"PNC FINANCIAL SERVICES GROUP, INC.",financials,core,True,EX99_PRESS_RELEASE,high,91,2015,91,36,0.3956,False,0,False
715957,"DOMINION ENERGY, INC",utilities,extension,True,8K_BODY,high,1,2020,45,1,0.0222,False,0,False
715957,"DOMINION ENERGY, INC",utilities,extension,True,EX99_PRESS_RELEASE,high,44,2015,45,1,0.0222,False,0,False
718877,"Activision Blizzard, Inc.",tech,core,True,EX99_PRESS_RELEASE,high,33,2015,33,0,0.0,False,0,False
723125,MICRON TECHNOLOGY INC,tech,core,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
726728,REALTY INCOME CORP,materials_realestate,extension,True,8K_BODY,high,1,2021,47,1,0.0213,False,0,False
726728,REALTY INCOME CORP,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,46,2015,47,1,0.0213,False,0,False
731766,UNITEDHEALTH GROUP INC,healthcare,core,False,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
732712,VERIZON COMMUNICATIONS INC,utilities,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
732717,AT&T INC.,utilities,extension,True,EX99_PRESS_RELEASE,high,47,2015,47,0,0.0,False,0,False
732717,AT&T INC.,utilities,extension,True,EXCLUDED_BY_OVERRIDE,override,1,2019,47,0,0.0,False,0,False
753308,NEXTERA ENERGY INC,utilities,extension,True,8K_BODY,high,1,2026,46,1,0.0217,False,0,False
753308,NEXTERA ENERGY INC,utilities,extension,True,EX99_PRESS_RELEASE,high,45,2015,46,1,0.0217,False,0,False
764180,"ALTRIA GROUP, INC.",consumer,core,True,EX99_PRESS_RELEASE,high,46,2015,46,1,0.0217,False,0,False
766704,WELLTOWER INC.,materials_realestate,extension,True,8K_BODY,high,1,2019,59,2,0.0339,False,0,False
766704,WELLTOWER INC.,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,58,2015,59,2,0.0339,False,0,False
769397,"Autodesk, Inc.",tech,core,True,EX99_PRESS_RELEASE,high,48,2015,48,0,0.0,False,0,False
773840,HONEYWELL INTERNATIONAL INC,industrials,extension,True,8K_BODY,high,1,2020,56,5,0.0893,False,0,False
773840,HONEYWELL INTERNATIONAL INC,industrials,extension,True,EX99_PRESS_RELEASE,high,55,2015,56,5,0.0893,False,0,False
773910,ANADARKO PETROLEUM CORP,energy,core,True,EX99_PRESS_RELEASE,high,17,2015,17,0,0.0,False,0,False
788784,PUBLIC SERVICE ENTERPRISE GROUP INC,utilities,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,3,0.0667,False,0,False
789019,MICROSOFT CORP,tech,core,False,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
790070,EMC CORP,tech,core,True,EX99_PRESS_RELEASE,high,6,2015,6,0,0.0,False,0,False
797468,OCCIDENTAL PETROLEUM CORP /DE/,energy,core,False,8K_BODY,high,3,2019,61,15,0.2459,False,0,False
797468,OCCIDENTAL PETROLEUM CORP /DE/,energy,core,False,EX99_PRESS_RELEASE,high,58,2015,61,15,0.2459,False,0,False
798354,FISERV INC,financials,core,True,EX99_PRESS_RELEASE,high,50,2015,50,4,0.08,False,0,False
804328,QUALCOMM INC/DE,tech,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
804753,CERNER Corp,tech,core,True,EX99_PRESS_RELEASE,high,28,2015,28,0,0.0,False,0,False
813672,CADENCE DESIGN SYSTEMS INC,tech,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
816284,CELGENE CORP /DE/,healthcare,core,True,EX99_PRESS_RELEASE,high,22,2015,22,0,0.0,False,0,False
821189,EOG RESOURCES INC,energy,core,True,8K_BODY,high,7,2018,52,6,0.1154,False,0,False
821189,EOG RESOURCES INC,energy,core,True,EX99_PRESS_RELEASE,high,45,2015,52,6,0.1154,False,0,False
823768,WASTE MANAGEMENT INC,utilities,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
827052,EDISON INTERNATIONAL,utilities,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
829224,STARBUCKS CORP,consumer,core,True,EX99_PRESS_RELEASE,high,47,2015,47,0,0.0,False,0,False
831001,CITIGROUP INC,financials,core,True,EX99_PRESS_RELEASE,high,48,2015,48,5,0.1042,False,0,False
831259,FREEPORT-MCMORAN INC,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,49,2015,49,1,0.0204,False,0,False
849395,CRH PUBLIC LTD CO,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,11,2024,11,0,0.0,False,0,False
849399,Gen Digital Inc.,tech,core,True,8K_BODY,high,1,2018,48,1,0.0208,False,0,False
849399,Gen Digital Inc.,tech,core,True,EX99_PRESS_RELEASE,high,47,2015,48,1,0.0208,False,0,False
858877,"CISCO SYSTEMS, INC.",tech,core,False,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
872589,"REGENERON PHARMACEUTICALS, INC.",healthcare,core,True,8K_BODY,high,7,2023,63,14,0.2222,False,0,False
872589,"REGENERON PHARMACEUTICALS, INC.",healthcare,core,True,EX99_PRESS_RELEASE,high,56,2015,63,14,0.2222,False,0,False
875045,BIOGEN INC.,healthcare,core,True,8K_BODY,high,5,2025,49,5,0.102,False,0,False
875045,BIOGEN INC.,healthcare,core,True,EX99_PRESS_RELEASE,high,43,2015,49,5,0.102,False,0,False
875045,BIOGEN INC.,healthcare,core,True,EX99_PRESS_RELEASE,medium,1,2017,49,5,0.102,False,0,False
875320,VERTEX PHARMACEUTICALS INC / MA,healthcare,core,True,EX99_PRESS_RELEASE,high,47,2015,47,0,0.0,False,0,False
882095,"GILEAD SCIENCES, INC.",healthcare,core,True,8K_BODY,high,1,2022,47,1,0.0213,False,0,False
882095,"GILEAD SCIENCES, INC.",healthcare,core,True,EX99_PRESS_RELEASE,high,46,2015,47,1,0.0213,False,0,False
884905,LINDE INC,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,14,2015,14,1,0.0714,False,0,False
885725,BOSTON SCIENTIFIC CORP,healthcare,core,True,8K_BODY,high,1,2020,51,1,0.0196,False,0,False
885725,BOSTON SCIENTIFIC CORP,healthcare,core,True,EX99_PRESS_RELEASE,high,50,2015,51,1,0.0196,False,0,False
886982,GOLDMAN SACHS GROUP INC,financials,core,False,8K_BODY,high,1,2026,48,2,0.0417,False,0,False
886982,GOLDMAN SACHS GROUP INC,financials,core,False,EX99_PRESS_RELEASE,high,47,2015,48,2,0.0417,False,0,False
895126,EXPAND ENERGY Corp,energy,core,True,EX99_PRESS_RELEASE,high,46,2015,46,0,0.0,False,0,False
895421,MORGAN STANLEY,financials,core,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
895728,ENBRIDGE INC,energy,core,True,EX99_PRESS_RELEASE,high,35,2018,35,0,0.0,False,0,False
896159,Chubb Ltd,financials,core,True,EX99_PRESS_RELEASE,high,53,2015,53,1,0.0189,False,0,False
896878,INTUIT INC.,tech,core,True,EX99_PRESS_RELEASE,high,53,2015,53,0,0.0,False,0,False
906107,VIVMARK RESIDENTIAL,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
915912,AVALONBAY COMMUNITIES INC,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
922224,PPL Corp,utilities,extension,True,EX99_PRESS_RELEASE,high,50,2015,50,6,0.12,False,0,False
927628,CAPITAL ONE FINANCIAL CORP,financials,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
927653,MCKESSON CORP,healthcare,core,True,EX99_PRESS_RELEASE,high,46,2015,46,1,0.0217,False,0,False
936402,Shire plc,healthcare,core,True,EX99_PRESS_RELEASE,high,14,2015,14,0,0.0,False,0,False
936468,LOCKHEED MARTIN CORP,industrials,extension,True,EX99_PRESS_RELEASE,high,46,2015,46,0,0.0,False,0,False
1001039,TWDC Enterprises 18 Corp.,consumer,core,True,EX99_PRESS_RELEASE,high,15,2015,15,0,0.0,False,0,False
1001250,ESTEE LAUDER COMPANIES INC,consumer,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1012569,"Energy Transfer, LP",energy,core,True,EX99_PRESS_RELEASE,high,8,2015,8,0,0.0,False,0,False
1018724,AMAZON COM INC,consumer,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1032208,SEMPRA,utilities,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1034054,SBA COMMUNICATIONS CORP,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1035002,VALERO ENERGY CORP/TX,energy,core,True,8K_BODY,high,2,2020,48,2,0.0417,False,0,False
1035002,VALERO ENERGY CORP/TX,energy,core,True,EX99_PRESS_RELEASE,high,46,2015,48,2,0.0417,False,0,False
1035267,INTUITIVE SURGICAL INC,healthcare,core,True,EX99_PRESS_RELEASE,high,57,2015,57,0,0.0,False,0,False
1038357,PIONEER NATURAL RESOURCES CO,energy,core,True,8K_BODY,high,38,2015,76,37,0.4868,False,0,False
1038357,PIONEER NATURAL RESOURCES CO,energy,core,True,EX99_PRESS_RELEASE,high,37,2015,76,37,0.4868,False,0,False
1038357,PIONEER NATURAL RESOURCES CO,energy,core,True,EX99_PRESS_RELEASE,medium,1,2017,76,37,0.4868,False,0,False
1038357,PIONEER NATURAL RESOURCES CO,energy,core,True,EXCLUDED_BY_OVERRIDE,override,1,2018,76,37,0.4868,False,0,False
1039684,ONEOK INC /NEW/,energy,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1045609,"Prologis, Inc.",materials_realestate,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1045810,NVIDIA CORP,tech,core,False,EX99_PRESS_RELEASE,high,46,2015,46,0,0.0,False,0,False
1047122,RAYTHEON CO/,industrials,extension,True,EX99_PRESS_RELEASE,high,19,2015,19,0,0.0,False,0,False
1047862,CONSOLIDATED EDISON INC,utilities,extension,True,EX99_PRESS_RELEASE,high,46,2015,46,0,0.0,False,0,False
1051470,CROWN CASTLE INC.,materials_realestate,extension,True,8K_BODY,high,1,2021,48,1,0.0208,False,0,False
1051470,CROWN CASTLE INC.,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,47,2015,48,1,0.0208,False,0,False
1053507,AMERICAN TOWER CORP /MA/,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,tech,core,True,EX99_PRESS_RELEASE,high,47,2015,47,0,0.0,False,0,False
1060391,"REPUBLIC SERVICES, INC.",utilities,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1061219,ENTERPRISE PRODUCTS PARTNERS L.P.,energy,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1063761,SIMON PROPERTY GROUP INC.,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
1065088,EBAY INC,financials,core,True,EX99_PRESS_RELEASE,high,46,2015,46,1,0.0217,False,0,False
1065280,NETFLIX INC,consumer,core,True,EX99_PRESS_RELEASE,high,47,2015,47,25,0.5319,True,0,False
1067983,BERKSHIRE HATHAWAY INC,financials,core,True,EX99_PRESS_RELEASE,high,37,2016,37,0,0.0,False,0,False
1075531,Booking Holdings Inc.,industrials,extension,True,EX99_PRESS_RELEASE,high,46,2015,46,0,0.0,False,0,False
1090012,DEVON ENERGY CORP/DE,energy,core,True,EX99_PRESS_RELEASE,high,47,2015,47,0,0.0,False,0,False
1090727,UNITED PARCEL SERVICE INC,industrials,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1091667,"CHARTER COMMUNICATIONS, INC. /MO/",consumer,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1099219,METLIFE INC,financials,core,True,8K_BODY,high,1,2017,73,5,0.0685,False,0,False
1099219,METLIFE INC,financials,core,True,EX99_PRESS_RELEASE,high,72,2015,73,5,0.0685,False,0,False
1099590,MERCADOLIBRE INC,financials,core,True,EX99_PRESS_RELEASE,high,47,2015,47,1,0.0213,False,0,False
1099800,Edwards Lifesciences Corp,healthcare,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1101239,EQUINIX INC,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1103982,"Mondelez International, Inc.",consumer,core,True,EX99_PRESS_RELEASE,high,46,2015,46,1,0.0217,False,0,False
1105705,"WARNER MEDIA, LLC",consumer,core,True,EX99_PRESS_RELEASE,high,13,2015,13,0,0.0,False,0,False
1108524,"Salesforce, Inc.",tech,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1109357,EXELON CORP,utilities,extension,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
1110803,"ILLUMINA, INC.",healthcare,core,True,8K_BODY,high,2,2015,64,1,0.0156,False,0,False
1110803,"ILLUMINA, INC.",healthcare,core,True,EX99_PRESS_RELEASE,high,62,2015,64,1,0.0156,False,0,False
1122304,AETNA INC /PA/,healthcare,core,True,EX99_PRESS_RELEASE,high,15,2015,15,1,0.0667,False,0,False
1123360,GLOBAL PAYMENTS INC,financials,core,True,EX99_PRESS_RELEASE,high,49,2015,49,2,0.0408,False,0,False
1126975,"Magellan Midstream Partners, L.P.",energy,core,True,EX99_PRESS_RELEASE,high,33,2015,33,0,0.0,False,0,False
1133421,NORTHROP GRUMMAN CORP /DE/,industrials,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1136893,"Fidelity National Information Services, Inc.",financials,core,True,EX99_PRESS_RELEASE,high,52,2015,52,1,0.0192,False,0,False
1137774,PRUDENTIAL FINANCIAL INC,financials,core,True,8K_BODY,high,4,2025,52,2,0.0385,False,0,False
1137774,PRUDENTIAL FINANCIAL INC,financials,core,True,EX99_PRESS_RELEASE,high,48,2015,52,2,0.0385,False,0,False
1137789,Seagate Technology Holdings plc,tech,core,True,EX99_PRESS_RELEASE,high,54,2015,54,0,0.0,False,0,False
1141391,Mastercard Inc,financials,core,False,EX99_PRESS_RELEASE,high,46,2015,46,0,0.0,False,0,False
1156039,"Elevance Health, Inc.",healthcare,core,True,8K_BODY,high,3,2016,48,2,0.0417,False,0,False
1156039,"Elevance Health, Inc.",healthcare,core,True,EX99_PRESS_RELEASE,high,45,2015,48,2,0.0417,False,0,False
1156375,CME GROUP INC.,financials,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1161154,"Energy Transfer Operating, L.P.",energy,core,True,EX99_PRESS_RELEASE,high,14,2015,14,0,0.0,False,0,False
1163165,CONOCOPHILLIPS,energy,core,False,8K_BODY,high,1,2018,46,1,0.0217,False,0,False
1163165,CONOCOPHILLIPS,energy,core,False,EX99_PRESS_RELEASE,high,45,2015,46,1,0.0217,False,0,False
1164727,NEWMONT Corp /DE/,materials_realestate,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1166691,COMCAST CORP,consumer,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1271024,LINKEDIN CORP,tech,core,True,EX99_PRESS_RELEASE,high,6,2015,6,0,0.0,False,0,False
1276187,Energy Transfer LP,energy,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1283699,"T-Mobile US, Inc.",utilities,extension,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1297996,"DIGITAL REALTY TRUST, INC.",materials_realestate,extension,True,EX99_PRESS_RELEASE,high,53,2015,53,7,0.1321,False,0,False
1318220,"Waste Connections, Inc.",utilities,extension,True,EX99_PRESS_RELEASE,high,42,2016,42,0,0.0,False,0,False
1318605,"Tesla, Inc.",consumer,core,True,EX99_PRESS_RELEASE,high,93,2015,93,20,0.2151,False,0,False
1321655,Palantir Technologies Inc.,tech,core,True,EX99_PRESS_RELEASE,high,24,2020,24,0,0.0,False,0,False
1326801,"Meta Platforms, Inc.",tech,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1327567,Palo Alto Networks Inc,tech,core,True,EX99_PRESS_RELEASE,high,44,2015,44,0,0.0,False,0,False
1341439,ORACLE CORP,tech,core,True,EX99_PRESS_RELEASE,high,45,2015,45,0,0.0,False,0,False
1358071,CONCHO RESOURCES INC,energy,core,True,8K_BODY,high,7,2019,29,6,0.2069,False,0,False
