cik,name,instant,filed,val,accn,form,reason
93859,OBH Inc.,2017-06-30,2018-02-26,402331914000.0,0001193805-18-000279,10-K,neighbour_jump
96223,Jefferies Financial Group Inc.,2015-06-30,2016-02-19,8196406000000.0,0000096223-16-000049,10-K,neighbour_jump
101830,SPRINT LLC,2010-06-30,2011-02-24,1.2633233479e+16,0000101830-11-000005,10-K,above_ceiling
103379,V F CORP,2008-06-28,2009-08-11,5172000000.0,0000950123-09-033506,10-Q,neighbour_jump
103379,V F CORP,2009-07-04,2010-03-03,4439000000.0,0000950123-10-020525,10-K,neighbour_jump
103379,V F CORP,2010-07-03,2011-03-02,5623000000.0,0000950123-11-021306,10-K,neighbour_jump
103379,V F CORP,2011-07-02,2012-02-29,8780000000.0,0001193125-12-088711,10-K,neighbour_jump
103379,V F CORP,2013-06-29,2014-02-26,16901000000.0,0001193125-14-069474,10-K,neighbour_jump
103379,V F CORP,2014-06-28,2015-03-03,21575000000.0,0001193125-15-075174,10-K,neighbour_jump
103379,V F CORP,2015-07-04,2016-03-02,24397000000.0,0001193125-16-489832,10-K,neighbour_jump
103379,V F CORP,2016-07-02,2017-03-01,20788000000.0,0001628280-17-002027,10-K,neighbour_jump
103379,V F CORP,2017-07-01,2018-02-28,18323000000.0,0000103379-18-000003,10-K,neighbour_jump
103379,V F CORP,2018-09-29,2019-05-24,30425000000.0,0000103379-19-000006,10-K,neighbour_jump
103379,V F CORP,2019-09-28,2020-05-27,31443000000.0,0000103379-20-000006,10-K,neighbour_jump
103379,V F CORP,2020-09-26,2021-05-27,24502000000.0,0000103379-21-000006,10-K,neighbour_jump
103379,V F CORP,2021-10-02,2022-05-26,21034000000.0,0000103379-22-000006,10-K,neighbour_jump
103379,V F CORP,2022-10-01,2023-05-25,10438000000.0,0000103379-23-000006,10-K,neighbour_jump
103379,V F CORP,2023-09-30,2024-05-23,6177000000.0,0000103379-24-000008,10-K,neighbour_jump
103379,V F CORP,2024-09-28,2025-05-22,6858000000.0,0000103379-25-000023,10-K,neighbour_jump
103379,V F CORP,2025-09-27,2026-05-20,5184000000.0,0000103379-26-000030,10-K,neighbour_jump
106640,WHIRLPOOL CORP /DE/,2012-06-30,2012-07-24,111111111000000.0,0000106640-12-000029,10-Q,above_ceiling
277948,CSX CORP,2009-06-26,2009-07-15,372994680.0,0000277948-09-000113,10-Q,neighbour_jump
277948,CSX CORP,2009-06-26,2010-02-19,13502407416.0,0000277948-10-000013,10-K,neighbour_jump
277948,CSX CORP,2009-06-26,2010-04-19,13500000000.0,0000277948-10-000025,10-Q,neighbour_jump
277948,CSX CORP,2009-06-26,2010-07-15,13500000000.0,0000277948-10-000046,10-Q,neighbour_jump
277948,CSX CORP,2009-06-26,2010-10-15,13500000000.0,0000277948-10-000059,10-Q,neighbour_jump
277948,CSX CORP,2009-09-25,2009-10-20,373485849.0,0000277948-09-000164,10-Q,neighbour_jump
277948,CSX CORP,2010-06-25,2011-02-18,17000000000.0,0001140361-11-010655,10-K,neighbour_jump
277948,CSX CORP,2011-07-01,2012-02-21,26000000000.0,0000277948-12-000014,10-K,neighbour_jump
277948,CSX CORP,2012-06-29,2013-02-19,21000000000.0,0000277948-13-000008,10-K,neighbour_jump
277948,CSX CORP,2013-06-28,2014-02-12,21000000000.0,0000277948-14-000011,10-K,neighbour_jump
277948,CSX CORP,2014-06-27,2015-02-11,31000000000.0,0000277948-15-000010,10-K,neighbour_jump
277948,CSX CORP,2015-06-26,2016-02-10,33000000000.0,0000277948-16-000046,10-K,neighbour_jump
277948,CSX CORP,2016-06-24,2017-02-14,24000000000.0,0000277948-17-000009,10-K,neighbour_jump
277948,CSX CORP,2017-06-30,2018-02-07,47000000000.0,0000277948-18-000009,10-K,neighbour_jump
277948,CSX CORP,2018-06-30,2019-02-06,46000000000.0,0000277948-19-000011,10-K,neighbour_jump
277948,CSX CORP,2019-06-30,2020-02-12,59000000000.0,0000277948-20-000008,10-K,neighbour_jump
277948,CSX CORP,2020-06-30,2021-02-10,53000000000.0,0000277948-21-000014,10-K,neighbour_jump
277948,CSX CORP,2021-06-30,2022-02-16,72000000000.0,0000277948-22-000009,10-K,neighbour_jump
277948,CSX CORP,2022-06-30,2023-02-15,62000000000.0,0000277948-23-000006,10-K,neighbour_jump
277948,CSX CORP,2023-06-30,2024-02-14,68000000000.0,0000277948-24-000010,10-K,neighbour_jump
277948,CSX CORP,2024-06-30,2025-02-27,65000000000.0,0000277948-25-000008,10-K,neighbour_jump
277948,CSX CORP,2025-06-30,2026-02-12,61000000000.0,0000277948-26-000006,10-K,neighbour_jump
310568,MICROSEMI CORP,2015-03-27,2015-11-12,3341000000000.0,0000310568-15-000237,10-K,neighbour_jump
350797,"Mirror Merger Sub 2, LLC",2011-04-30,2011-09-22,3885082674000.0,0001144204-11-054295,10-Q/A,neighbour_jump
712515,ELECTRONIC ARTS INC.,2019-09-27,2020-05-20,27568.0,0000712515-20-000019,10-K,below_floor
712515,ELECTRONIC ARTS INC.,2020-10-02,2021-05-26,37181.0,0000712515-21-000064,10-K,below_floor
712515,ELECTRONIC ARTS INC.,2021-10-01,2022-05-25,40956.0,0000712515-22-000011,10-K,below_floor
717605,HEXCEL CORP /DE/,2023-06-30,2024-02-07,6418079952000000.0,0000950170-24-012245,10-K,above_ceiling
717605,HEXCEL CORP /DE/,2024-06-30,2025-02-05,5103866076000000.0,0000950170-25-014412,10-K,above_ceiling
718877,"Activision Blizzard, Inc.",2010-06-30,2011-02-25,5230965691000000.0,0001047469-11-001413,10-K,above_ceiling
718877,"Activision Blizzard, Inc.",2011-06-30,2012-02-28,4843916612000000.0,0001047469-12-001775,10-K,above_ceiling
732717,AT&T INC.,2010-12-31,2011-03-01,0.0,0000732717-11-000014,10-K,zero_or_negative
751364,"NNN REIT, INC.",2022-06-30,2023-02-09,7534963000000.0,0000950170-23-002248,10-K,neighbour_jump
753308,NEXTERA ENERGY INC,2010-06-30,2010-08-06,0.0,0000753308-10-000096,10-Q,zero_or_negative
766421,"ALASKA AIR GROUP, INC.",2010-06-30,2011-02-23,1600000000000000.0,0000766421-11-000020,10-K,above_ceiling
