acc,company,filing_date,n_toc,n_matching,n_resolvable,cause,fallback_words
0001558370-18-008642,CVS HEALTH Corp,2018-11-06,14,0,0,R1_genuinely_absent_from_toc,
0001558370-20-009797,"Waste Connections, Inc.",2020-08-07,15,0,0,R1_genuinely_absent_from_toc,
0001558370-20-011956,"Waste Connections, Inc.",2020-10-29,15,0,0,R1_genuinely_absent_from_toc,
0001558370-21-005162,"Waste Connections, Inc.",2021-04-29,17,0,0,R1_genuinely_absent_from_toc,
0001558370-21-013672,"Waste Connections, Inc.",2021-10-28,15,0,0,R1_genuinely_absent_from_toc,
0001562762-18-000229,MERCADOLIBRE INC,2018-08-09,1,0,0,R1_genuinely_absent_from_toc,1216.0
0001562762-18-000323,MERCADOLIBRE INC,2018-11-02,1,0,0,R1_genuinely_absent_from_toc,551.0
0001564590-15-006685,HESS CORP,2015-08-07,8,0,0,R1_genuinely_absent_from_toc,3170.0
0001564590-17-009686,"BlackRock Finance, Inc.",2017-05-09,7,0,0,R1_genuinely_absent_from_toc,
0001564590-17-022570,"BlackRock Finance, Inc.",2017-11-08,7,0,0,R1_genuinely_absent_from_toc,
0001564590-19-030654,"BlackRock Finance, Inc.",2019-08-08,8,0,0,R1_genuinely_absent_from_toc,
0001613103-15-000038,Medtronic plc,2015-09-09,17,0,0,R1_genuinely_absent_from_toc,
0001613103-16-000071,Medtronic plc,2016-03-09,17,0,0,R1_genuinely_absent_from_toc,
0001613103-24-000147,Medtronic plc,2024-08-27,19,0,0,R1_genuinely_absent_from_toc,902.0
0001628280-21-009296,HESS CORP,2021-05-06,17,0,0,R1_genuinely_absent_from_toc,317.0
0001628280-23-035957,ABBOTT LABORATORIES,2023-11-01,11,0,0,R1_genuinely_absent_from_toc,
0001628280-26-028357,ABBOTT LABORATORIES,2026-04-29,10,0,0,R1_genuinely_absent_from_toc,
0001628280-26-050134,ABBOTT LABORATORIES,2026-07-28,10,0,0,R1_genuinely_absent_from_toc,
0001739940-20-000021,Cigna Group,2020-11-05,77,0,0,R1_genuinely_absent_from_toc,84.0
0001996810-24-000067,GE Vernova Inc.,2024-07-24,9,0,0,R1_genuinely_absent_from_toc,
