cik,company_name,sector,stratum,form,section_type,n_attempt,n_ok,n_flagged,n_expected_absent,n_fail,fail_rate,flag_rate,n_pre2019,fail_rate_pre2019,fail_rate_2019plus,top_reason_code,n_low_confidence,median_words
1318605,"Tesla, Inc.",consumer,core,8-K,EX99_PRESS_RELEASE,93,0,93,0,0,0.0,1.0,30,0.0,0.0,earnings_population_gate,0,795.0
713676,"PNC FINANCIAL SERVICES GROUP, INC.",financials,core,8-K,EX99_PRESS_RELEASE,91,11,73,0,7,0.0769,0.8022,38,0.1579,0.0189,earnings_population_gate,7,9551.0
1099219,METLIFE INC,financials,core,8-K,EX99_PRESS_RELEASE,72,19,52,0,1,0.0139,0.7222,24,0.0,0.0208,earnings_population_gate,1,8654.0
80661,PROGRESSIVE CORP/OH/,financials,core,8-K,EX99_PRESS_RELEASE,45,0,45,0,0,0.0,1.0,14,0.0,0.0,earnings_supplemental_diluted,0,3066.0
62709,"MARSH & MCLENNAN COMPANIES, INC.",financials,core,8-K,EX99_PRESS_RELEASE,45,1,44,0,0,0.0,0.9778,14,0.0,0.0,earnings_supplemental_diluted,0,4977.0
66740,3M CO,healthcare,core,8-K,EX99_PRESS_RELEASE,54,14,40,0,0,0.0,0.7407,17,0.0,0.0,earnings_supplemental_diluted,0,5225.0
1551152,AbbVie Inc.,healthcare,core,8-K,EX99_PRESS_RELEASE,65,26,39,0,0,0.0,0.6,14,0.0,0.0,earnings_population_gate,0,4206.0
1038357,PIONEER NATURAL RESOURCES CO,energy,core,8-K,EX99_PRESS_RELEASE,38,1,37,0,0,0.0,0.9737,17,0.0,0.0,earnings_population_gate,0,6134.5
1038357,PIONEER NATURAL RESOURCES CO,energy,core,8-K,8K_BODY,38,1,37,0,0,0.0,0.9737,15,0.0,0.0,earnings_population_gate,0,1294.0
1110803,"ILLUMINA, INC.",healthcare,core,8-K,EX99_PRESS_RELEASE,62,26,36,0,0,0.0,0.5806,20,0.0,0.0,earnings_population_gate,0,4198.5
77476,PEPSICO INC,consumer,core,8-K,EX99_PRESS_RELEASE,45,9,36,0,0,0.0,0.8,14,0.0,0.0,earnings_supplemental_diluted,0,7606.0
