cluster,cluster_n,cik,company_name,form,section_type,reason_code,accession_number,filing_date,error,cur_heading,dash_heading,item_kw_within_60,bare_title_line,kw_anywhere,combined_items_row,combined_items_with_kw,title_then_itemlabel,item_token_count,crossref_index,words,n_anchors,anchor_items,target_in_toc,target_toc_row_has_kw,dialect,probed,weight
21665|10-Q|MDA|no_toc_and_no_heading_match,34,21665,COLGATE PALMOLIVE CO,10-Q,MDA,no_toc_and_no_heading_match,0000021665-17-000014,2017-10-27,,0,0,0,0,0,0,0,0,1,0,25791,0,,0,0,D_other_notoc,2,17.0
24741|10-K|RISK_FACTORS|item_absent_from_toc,9,24741,CORNING INC /NY,10-K,RISK_FACTORS,item_absent_from_toc,0000024741-26-000124,2026-02-12,,1,1,1,0,3,0,0,0,1,0,53949,98,"1,2,3,4,5,6,7,8,9",0,0,D11_item_no_not_row_prefix,2,4.5
32604|10-Q|MDA|no_toc_and_no_heading_match,34,32604,EMERSON ELECTRIC CO,10-Q,MDA,no_toc_and_no_heading_match,0000032604-17-000036,2017-08-02,,0,0,0,1,1,1,0,0,1,0,10380,0,,0,0,D15_title_present_item_label_far,2,17.0
32604|10-K|RISK_FACTORS|no_toc_and_no_heading_match,11,32604,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,no_toc_and_no_heading_match,0000032604-18-000044,2018-11-19,,0,1,4,0,5,0,0,0,4,0,35797,0,,0,0,D9_dash_separator_heading,2,5.5
32604|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,29,32604,EMERSON ELECTRIC CO,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000032604-21-000029,2021-08-04,,0,0,1,0,2,1,0,0,2,0,9435,0,,0,0,D12_linebroken_or_wide_gap_heading,2,14.5
32604|10-K|MDA|no_toc_and_no_heading_match,11,32604,EMERSON ELECTRIC CO,10-K,MDA,no_toc_and_no_heading_match,0000032604-22-000041,2022-11-14,,0,1,3,0,3,0,0,0,6,0,43141,0,,0,0,D9_dash_separator_heading,2,5.5
32604|10-K|RISK_FACTORS|no_toc_and_no_heading_match,11,32604,EMERSON ELECTRIC CO,10-K,RISK_FACTORS,no_toc_and_no_heading_match,0000032604-22-000041,2022-11-14,,0,1,6,0,8,0,0,0,6,0,43141,0,,0,0,D9_dash_separator_heading,2,5.5
32604|10-Q|MDA|no_toc_and_no_heading_match,34,32604,EMERSON ELECTRIC CO,10-Q,MDA,no_toc_and_no_heading_match,0000032604-25-000012,2025-02-05,,0,0,0,1,1,1,0,0,0,0,9172,0,,0,0,D7_no_item_labels_bare_title,2,17.0
32604|10-K|MDA|no_toc_and_no_heading_match,11,32604,EMERSON ELECTRIC CO,10-K,MDA,no_toc_and_no_heading_match,0000032604-25-000087,2025-11-10,,0,1,3,0,3,0,0,0,6,0,42067,0,,0,0,D9_dash_separator_heading,2,5.5
32604|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,29,32604,EMERSON ELECTRIC CO,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000032604-26-000035,2026-05-05,,0,0,0,0,1,1,0,0,1,0,12015,0,,0,0,D16_kw_present_no_heading_line,2,14.5
34088|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,14,34088,EXXON MOBIL CORP,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000034088-18-000024,2018-05-03,,0,0,0,0,0,0,0,0,1,0,9053,0,,0,0,D_other_notoc,2,7.0
34088|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,14,34088,EXXON MOBIL CORP,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000034088-18-000048,2018-11-07,,0,0,0,0,0,0,0,0,1,0,10624,0,,0,0,D_other_notoc,2,7.0
36104|10-Q|MDA|item_absent_from_toc,7,36104,US BANCORP \DE\,10-Q,MDA,item_absent_from_toc,0000036104-25-000055,2025-08-07,,0,0,0,1,9,0,0,0,3,0,50281,4,"5,6",0,0,D11_item_no_not_row_prefix,2,3.5
36104|10-Q|MDA|item_absent_from_toc,7,36104,US BANCORP \DE\,10-Q,MDA,item_absent_from_toc,0000036104-25-000064,2025-11-05,,0,0,0,1,9,0,0,0,3,0,50417,4,"5,6",0,0,D11_item_no_not_row_prefix,2,3.5
49071|10-K|RISK_FACTORS|item_absent_from_toc,5,49071,HUMANA INC,10-K,RISK_FACTORS,item_absent_from_toc,0000049071-16-000117,2016-02-18,,2,6,6,1,7,0,0,0,6,0,84348,40,"1,10,11,12,13,14,15,1A,1B,2,3,4,5,6,7,7A,8,9,9A,9B",1,1,D_other_absent,2,2.5
49071|10-K|RISK_FACTORS|item_absent_from_toc,5,49071,HUMANA INC,10-K,RISK_FACTORS,item_absent_from_toc,0000049071-18-000014,2018-02-16,,2,6,6,1,7,0,0,0,6,0,84017,40,"1,10,11,12,13,14,15,1A,1B,2,3,4,5,6,7,7A,8,9,9A,9B",1,1,D_other_absent,2,2.5
49071|10-K|MDA|item_absent_from_toc,5,49071,HUMANA INC,10-K,MDA,item_absent_from_toc,0000049071-19-000023,2019-02-21,,2,3,3,1,4,0,0,0,3,0,75287,42,"1,10,11,12,13,14,15,16,1A,1B,2,3,4,5,6,7,7A,8,9,9A,9B",1,1,D_other_absent,2,2.5
49071|10-K|MDA|item_absent_from_toc,5,49071,HUMANA INC,10-K,MDA,item_absent_from_toc,0000049071-20-000032,2020-02-20,,2,2,2,1,3,0,0,0,3,0,72735,42,"1,10,11,12,13,14,15,16,1A,1B,2,3,4,5,6,7,7A,8,9,9A,9B",1,1,D_other_absent,2,2.5
50863|10-K|RISK_FACTORS|no_toc_and_no_heading_match,1,50863,INTEL CORP,10-K,RISK_FACTORS,no_toc_and_no_heading_match,0000050863-18-000007,2018-02-16,,1,1,1,3,5,0,0,0,1,1,55210,0,,0,0,D9_dash_separator_heading,1,1.0
51143|10-Q|MDA|item_absent_from_toc,3,51143,INTERNATIONAL BUSINESS MACHINES CORP,10-Q,MDA,item_absent_from_toc,0000051143-15-000005,2015-07-28,,2,2,2,1,2,0,0,0,4,0,44229,6,"1,2,4,6",1,1,D_other_absent,1,3.0
63908|10-K|RISK_FACTORS|no_toc_and_no_heading_match,2,63908,MCDONALDS CORP,10-K,RISK_FACTORS,no_toc_and_no_heading_match,0000063908-22-000011,2022-02-24,,1,1,1,3,6,0,0,0,1,1,40496,0,,0,0,D9_dash_separator_heading,1,2.0
72741|10-Q|MDA|no_toc_and_no_heading_match,1,72741,EVERSOURCE ENERGY,10-Q,MDA,no_toc_and_no_heading_match,0000072741-15-000043,2015-08-05,,0,1,2,8,10,0,0,0,4,0,36642,0,,0,0,D9_dash_separator_heading,1,1.0
78003|10-Q|MDA|item_absent_from_toc,5,78003,PFIZER INC,10-Q,MDA,item_absent_from_toc,0000078003-19-000026,2019-05-09,,1,1,2,1,2,1,0,0,6,0,56852,33,"1,1A,2,3,4,5,6",1,1,D_other_absent,2,2.5
78003|10-Q|MDA|item_absent_from_toc,5,78003,PFIZER INC,10-Q,MDA,item_absent_from_toc,0000078003-20-000060,2020-08-06,,1,1,2,1,2,1,0,0,4,0,64813,33,"1,1A,2,3,4,5,6",1,1,D_other_absent,2,2.5
100885|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,10,100885,UNION PACIFIC CORP,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000100885-16-000454,2016-10-20,,1,1,1,1,8,0,0,0,3,0,20860,0,,0,0,D9_dash_separator_heading,2,5.0
100885|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,10,100885,UNION PACIFIC CORP,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000100885-18-000268,2018-10-25,,1,1,1,1,8,0,0,0,3,0,19944,0,,0,0,D9_dash_separator_heading,2,5.0
107263|10-K|RISK_FACTORS|item_absent_from_toc,1,107263,"WILLIAMS COMPANIES, INC.",10-K,RISK_FACTORS,item_absent_from_toc,0000107263-16-000021,2016-02-26,,2,2,2,3,8,0,0,0,2,0,116678,44,"1,10,11,12,13,14,15,1A,1B,2,3,4,5,6,7,7A,8,9,9A,9B",1,1,D_other_absent,1,1.0
310158|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,13,310158,"Merck & Co., Inc.",10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000310158-17-000037,2017-08-08,,0,0,1,0,3,0,0,0,1,0,32006,0,,0,0,D12_linebroken_or_wide_gap_heading,2,6.5
310158|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,13,310158,"Merck & Co., Inc.",10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000310158-17-000045,2017-11-07,,0,0,1,0,3,0,0,0,1,0,33182,0,,0,0,D12_linebroken_or_wide_gap_heading,2,6.5
310764|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,17,310764,STRYKER CORP,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000310764-16-000458,2016-10-28,,0,0,1,0,1,0,0,0,1,0,12541,0,,0,0,D12_linebroken_or_wide_gap_heading,2,8.5
310764|10-Q|RISK_FACTORS|no_toc_and_no_heading_match,17,310764,STRYKER CORP,10-Q,RISK_FACTORS,no_toc_and_no_heading_match,0000310764-19-000140,2019-10-30,,0,0,1,0,1,0,0,0,1,0,13436,0,,0,0,D12_linebroken_or_wide_gap_heading,2,8.5
313616|10-K|MDA|item_absent_from_toc,4,313616,DANAHER CORP /DE/,10-K,MDA,item_absent_from_toc,0000313616-16-000145,2016-02-24,,4,4,4,1,7,0,0,0,4,0,71372,42,"1,10,11,12,13,14,15,1A,1B,2,3,4,5,6,7,7A,8,9,9A,9B",1,1,D_other_absent,2,2.0
313616|10-K|RISK_FACTORS|item_absent_from_toc,4,313616,DANAHER CORP /DE/,10-K,RISK_FACTORS,item_absent_from_toc,0000313616-16-000145,2016-02-24,,17,17,17,1,17,0,0,0,18,0,71372,42,"1,10,11,12,13,14,15,1A,1B,2,3,4,5,6,7,7A,8,9,9A,9B",1,1,D_other_absent,2,2.0
313616|10-K|MDA|item_absent_from_toc,4,313616,DANAHER CORP /DE/,10-K,MDA,item_absent_from_toc,0000313616-17-000066,2017-02-22,,4,4,4,1,7,0,0,0,4,0,70063,44,"1,10,11,12,13,14,15,16,1A,1B,2,3,4,5,6,7,7A,8,9,9A,9B",1,1,D_other_absent,2,2.0
